epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1602947535534,2020-10-17T11:12:15.534,0.000,-0.427,-1.037,0.549
1602947535544,2020-10-17T11:12:15.544,0.010,-0.183,-0.610,1.037
1602947535554,2020-10-17T11:12:15.554,0.020,-0.305,-0.793,0.793
1602947535564,2020-10-17T11:12:15.564,0.030,-0.183,-0.854,0.854
1602947535574,2020-10-17T11:12:15.574,0.040,0.122,-0.732,0.793
1602947535584,2020-10-17T11:12:15.584,0.050,0.366,-0.732,0.732
1602947535594,2020-10-17T11:12:15.594,0.060,0.427,-0.671,0.549
1602947535604,2020-10-17T11:12:15.604,0.070,0.427,-0.549,0.671
1602947535614,2020-10-17T11:12:15.614,0.080,0.488,-0.488,0.671
1602947535624,2020-10-17T11:12:15.624,0.090,0.610,-0.183,0.793
1602947535634,2020-10-17T11:12:15.634,0.100,0.671,-0.061,0.915
1602947535644,2020-10-17T11:12:15.644,0.110,0.610,0.183,1.037
1602947535654,2020-10-17T11:12:15.654,0.120,0.549,0.427,1.098
1602947535664,2020-10-17T11:12:15.664,0.130,0.366,0.427,1.402
1602947535674,2020-10-17T11:12:15.674,0.140,0.488,0.427,1.463
1602947535684,2020-10-17T11:12:15.684,0.150,0.732,0.610,1.341
1602947535694,2020-10-17T11:12:15.694,0.160,0.854,0.793,1.341
1602947535704,2020-10-17T11:12:15.704,0.170,1.159,0.976,1.524
1602947535714,2020-10-17T11:12:15.714,0.180,1.098,1.159,1.707
1602947535724,2020-10-17T11:12:15.724,0.190,1.037,1.098,1.768
1602947535734,2020-10-17T11:12:15.734,0.200,0.854,1.037,1.829
1602947535744,2020-10-17T11:12:15.744,0.210,0.610,1.037,1.890
1602947535754,2020-10-17T11:12:15.754,0.220,0.610,0.915,1.890
1602947535764,2020-10-17T11:12:15.764,0.230,0.549,0.854,1.707
1602947535774,2020-10-17T11:12:15.774,0.240,0.549,0.671,1.402
1602947535784,2020-10-17T11:12:15.784,0.250,0.671,0.549,1.159
1602947535794,2020-10-17T11:12:15.794,0.260,0.793,0.549,0.915
1602947535804,2020-10-17T11:12:15.804,0.270,0.915,0.549,0.793
1602947535814,2020-10-17T11:12:15.814,0.280,0.976,0.427,0.488
1602947535824,2020-10-17T11:12:15.824,0.290,0.915,0.366,0.427
1602947535834,2020-10-17T11:12:15.834,0.300,0.854,0.244,0.427
1602947535844,2020-10-17T11:12:15.844,0.310,0.732,0.244,0.366
1602947535854,2020-10-17T11:12:15.854,0.320,0.610,0.305,0.488
1602947535864,2020-10-17T11:12:15.864,0.330,0.671,0.427,0.610
1602947535874,2020-10-17T11:12:15.874,0.340,0.610,0.732,0.549
1602947535884,2020-10-17T11:12:15.884,0.350,0.427,0.793,0.549
1602947535894,2020-10-17T11:12:15.894,0.360,0.122,0.854,0.549
1602947535904,2020-10-17T11:12:15.904,0.370,-0.122,0.671,0.427
1602947535914,2020-10-17T11:12:15.914,0.380,-0.244,0.610,0.244
1602947535924,2020-10-17T11:12:15.924,0.390,-0.244,0.427,0.183
1602947535934,2020-10-17T11:12:15.934,0.400,-0.122,0.061,0.183
1602947535944,2020-10-17T11:12:15.944,0.410,-0.183,-0.122,0.183
1602947535954,2020-10-17T11:12:15.954,0.420,0.000,-0.366,0.366
1602947535964,2020-10-17T11:12:15.964,0.430,0.122,-0.610,0.488
1602947535974,2020-10-17T11:12:15.974,0.440,0.061,-0.915,0.671
1602947535984,2020-10-17T11:12:15.984,0.450,0.183,-1.098,0.854
1602947535994,2020-10-17T11:12:15.994,0.460,0.122,-1.280,1.037
1602947536004,2020-10-17T11:12:16.004,0.470,0.061,-1.341,1.220
1602947536014,2020-10-17T11:12:16.014,0.480,0.122,-1.280,1.585
1602947536024,2020-10-17T11:12:16.024,0.490,0.061,-1.220,1.646
1602947536034,2020-10-17T11:12:16.034,0.500,0.000,-1.159,1.585
1602947536044,2020-10-17T11:12:16.044,0.510,0.122,-1.037,1.646
1602947536054,2020-10-17T11:12:16.054,0.520,0.305,-0.793,1.951
1602947536064,2020-10-17T11:12:16.064,0.530,0.488,-0.610,2.378
1602947536074,2020-10-17T11:12:16.074,0.540,0.427,-0.427,2.439
1602947536084,2020-10-17T11:12:16.084,0.550,0.305,-0.244,2.378
1602947536094,2020-10-17T11:12:16.094,0.560,0.244,-0.244,2.439
1602947536104,2020-10-17T11:12:16.104,0.570,0.305,-0.244,2.683
1602947536114,2020-10-17T11:12:16.114,0.580,0.488,-0.244,2.927
1602947536124,2020-10-17T11:12:16.124,0.590,0.793,-0.122,2.683
1602947536134,2020-10-17T11:12:16.134,0.600,0.915,0.000,2.317
1602947536144,2020-10-17T11:12:16.144,0.610,1.098,-0.061,2.683
1602947536154,2020-10-17T11:12:16.154,0.620,1.463,-0.244,3.476
1602947536164,2020-10-17T11:12:16.164,0.630,1.463,-0.366,4.207
1602947536174,2020-10-17T11:12:16.174,0.640,1.707,-0.610,4.817
1602947536184,2020-10-17T11:12:16.184,0.650,1.585,-0.915,5.244
1602947536194,2020-10-17T11:12:16.194,0.660,1.707,-0.915,5.610
1602947536204,2020-10-17T11:12:16.204,0.670,1.951,-0.976,6.280
1602947536214,2020-10-17T11:12:16.214,0.680,2.012,-1.159,7.012
1602947536224,2020-10-17T11:12:16.224,0.690,2.012,-1.220,7.439
1602947536234,2020-10-17T11:12:16.234,0.700,1.951,-1.159,7.439
1602947536244,2020-10-17T11:12:16.244,0.710,1.890,-0.976,7.012
1602947536254,2020-10-17T11:12:16.254,0.720,1.890,-0.488,6.037
1602947536264,2020-10-17T11:12:16.264,0.730,1.646,-0.183,4.878
1602947536274,2020-10-17T11:12:16.274,0.740,1.341,0.000,3.841
1602947536284,2020-10-17T11:12:16.284,0.750,0.976,0.305,2.500
1602947536294,2020-10-17T11:12:16.294,0.760,0.366,0.427,0.793
1602947536304,2020-10-17T11:12:16.304,0.770,-0.061,0.549,-1.159
1602947536314,2020-10-17T11:12:16.314,0.780,-0.244,0.610,-3.293
1602947536324,2020-10-17T11:12:16.324,0.790,-0.305,0.549,-4.939
1602947536334,2020-10-17T11:12:16.334,0.800,-0.549,0.366,-5.610
1602947536344,2020-10-17T11:12:16.344,0.810,-0.427,-0.061,-5.427
1602947536354,2020-10-17T11:12:16.354,0.820,-0.366,-0.610,-4.573
1602947536364,2020-10-17T11:12:16.364,0.830,-0.061,-1.220,-3.598
1602947536374,2020-10-17T11:12:16.374,0.840,0.427,-1.707,-2.500
1602947536384,2020-10-17T11:12:16.384,0.850,0.854,-2.256,-0.732
1602947536394,2020-10-17T11:12:16.394,0.860,1.707,-2.927,1.707
1602947536404,2020-10-17T11:12:16.404,0.870,2.134,-3.293,3.780
1602947536414,2020-10-17T11:12:16.414,0.880,1.768,-3.902,5.183
1602947536424,2020-10-17T11:12:16.424,0.890,1.159,-4.329,5.793
1602947536434,2020-10-17T11:12:16.434,0.900,0.122,-4.268,4.878
1602947536444,2020-10-17T11:12:16.444,0.910,-1.280,-3.963,1.341
1602947536454,2020-10-17T11:12:16.454,0.920,-2.805,-3.476,-4.756
1602947536464,2020-10-17T11:12:16.464,0.930,-4.451,-2.805,-13.841
1602947536474,2020-10-17T11:12:16.474,0.940,-5.549,-1.829,-23.963
1602947536484,2020-10-17T11:12:16.484,0.950,-6.402,-0.915,-31.707
1602947536494,2020-10-17T11:12:16.494,0.960,-5.976,-1.098,-33.841
1602947536504,2020-10-17T11:12:16.504,0.970,-4.207,-1.890,-30.183
1602947536514,2020-10-17T11:12:16.514,0.980,-2.317,-2.866,-24.268
1602947536524,2020-10-17T11:12:16.524,0.990,-1.220,-3.659,-19.268
1602947536534,2020-10-17T11:12:16.534,1.000,-0.732,-4.390,-15.671
1602947536544,2020-10-17T11:12:16.544,1.010,0.000,-4.939,-12.012
1602947536554,2020-10-17T11:12:16.554,1.020,0.976,-5.427,-7.439
1602947536564,2020-10-17T11:12:16.564,1.030,1.707,-5.732,-2.622
1602947536574,2020-10-17T11:12:16.574,1.040,2.134,-5.732,1.402
1602947536584,2020-10-17T11:12:16.584,1.050,2.256,-5.366,4.878
1602947536594,2020-10-17T11:12:16.594,1.060,2.439,-5.061,7.805
1602947536604,2020-10-17T11:12:16.604,1.070,2.378,-4.573,10.122
1602947536614,2020-10-17T11:12:16.614,1.080,2.439,-3.841,11.585
1602947536624,2020-10-17T11:12:16.624,1.090,2.500,-2.927,12.012
1602947536634,2020-10-17T11:12:16.634,1.100,2.195,-1.951,11.524
1602947536644,2020-10-17T11:12:16.644,1.110,1.829,-1.280,10.610
1602947536654,2020-10-17T11:12:16.654,1.120,1.280,-0.732,9.451
1602947536664,2020-10-17T11:12:16.664,1.130,0.793,-0.183,8.354
1602947536674,2020-10-17T11:12:16.674,1.140,0.427,0.244,7.256
1602947536684,2020-10-17T11:12:16.684,1.150,0.000,0.549,5.915
1602947536694,2020-10-17T11:12:16.694,1.160,-0.366,0.854,4.756
1602947536704,2020-10-17T11:12:16.704,1.170,-0.732,0.976,3.902
1602947536714,2020-10-17T11:12:16.714,1.180,-0.976,0.976,3.415
1602947536724,2020-10-17T11:12:16.724,1.190,-1.159,0.854,3.232
1602947536734,2020-10-17T11:12:16.734,1.200,-1.280,0.427,3.476
1602947536744,2020-10-17T11:12:16.744,1.210,-1.159,0.061,4.024
1602947536754,2020-10-17T11:12:16.754,1.220,-1.280,-0.244,4.451
1602947536764,2020-10-17T11:12:16.764,1.230,-1.341,-0.549,4.695
1602947536774,2020-10-17T11:12:16.774,1.240,-1.402,-0.915,4.817
1602947536784,2020-10-17T11:12:16.784,1.250,-1.220,-1.220,5.000
1602947536794,2020-10-17T11:12:16.794,1.260,-1.037,-1.280,4.878
1602947536804,2020-10-17T11:12:16.804,1.270,-0.854,-1.220,4.207
1602947536814,2020-10-17T11:12:16.814,1.280,-0.610,-1.098,3.293
1602947536824,2020-10-17T11:12:16.824,1.290,0.000,-1.037,2.866
1602947536834,2020-10-17T11:12:16.834,1.300,0.671,-0.854,2.927
1602947536844,2020-10-17T11:12:16.844,1.310,1.037,-0.793,2.927
1602947536854,2020-10-17T11:12:16.854,1.320,1.098,-0.732,2.500
1602947536864,2020-10-17T11:12:16.864,1.330,0.976,-0.671,1.707
1602947536874,2020-10-17T11:12:16.874,1.340,0.854,-0.488,0.854
1602947536884,2020-10-17T11:12:16.884,1.350,0.488,-0.427,0.244
1602947536894,2020-10-17T11:12:16.894,1.360,0.427,-0.244,-0.427
1602947536904,2020-10-17T11:12:16.904,1.370,0.366,0.122,-0.976
1602947536914,2020-10-17T11:12:16.914,1.380,0.000,0.305,-1.402
1602947536924,2020-10-17T11:12:16.924,1.390,0.000,0.488,-1.524
1602947536934,2020-10-17T11:12:16.934,1.400,-0.061,0.549,-1.341
1602947536944,2020-10-17T11:12:16.944,1.410,0.000,0.549,-1.098
1602947536954,2020-10-17T11:12:16.954,1.420,0.183,0.305,-0.976
1602947536964,2020-10-17T11:12:16.964,1.430,0.122,0.183,-0.732
1602947536974,2020-10-17T11:12:16.974,1.440,0.061,0.000,-0.488
1602947536984,2020-10-17T11:12:16.984,1.450,0.061,-0.366,-0.183
1602947536994,2020-10-17T11:12:16.994,1.460,0.183,-0.671,0.366
1602947537004,2020-10-17T11:12:17.004,1.470,0.305,-0.915,1.037
1602947537014,2020-10-17T11:12:17.014,1.480,0.366,-1.037,1.707
1602947537024,2020-10-17T11:12:17.024,1.490,0.488,-1.098,2.195
1602947537034,2020-10-17T11:12:17.034,1.500,0.549,-1.098,2.622
1602947537044,2020-10-17T11:12:17.044,1.510,0.427,-1.098,2.500
1602947537054,2020-10-17T11:12:17.054,1.520,0.366,-0.854,2.134
1602947537064,2020-10-17T11:12:17.064,1.530,0.305,-0.610,1.890
1602947537074,2020-10-17T11:12:17.074,1.540,0.427,-0.366,1.890
1602947537084,2020-10-17T11:12:17.084,1.550,0.610,-0.183,2.012
1602947537094,2020-10-17T11:12:17.094,1.560,0.610,0.000,2.134
1602947537104,2020-10-17T11:12:17.104,1.570,0.549,0.061,2.256
1602947537114,2020-10-17T11:12:17.114,1.580,0.488,0.122,2.195
1602947537124,2020-10-17T11:12:17.124,1.590,0.427,0.061,2.073
1602947537134,2020-10-17T11:12:17.134,1.600,0.488,0.122,1.951
1602947537144,2020-10-17T11:12:17.144,1.610,0.488,0.061,1.707
1602947537154,2020-10-17T11:12:17.154,1.620,0.549,0.122,1.402
1602947537164,2020-10-17T11:12:17.164,1.630,0.610,0.183,1.280
1602947537174,2020-10-17T11:12:17.174,1.640,0.732,0.183,1.402
1602947537184,2020-10-17T11:12:17.184,1.650,0.854,0.366,1.463
1602947537194,2020-10-17T11:12:17.194,1.660,0.915,0.549,1.341
1602947537204,2020-10-17T11:12:17.204,1.670,0.854,0.610,1.159
1602947537214,2020-10-17T11:12:17.214,1.680,0.793,0.854,0.976
1602947537224,2020-10-17T11:12:17.224,1.690,0.915,0.915,0.671
1602947537234,2020-10-17T11:12:17.234,1.700,0.915,0.915,0.366
1602947537244,2020-10-17T11:12:17.244,1.710,1.037,0.854,0.366
1602947537254,2020-10-17T11:12:17.254,1.720,1.220,0.854,0.549
1602947537264,2020-10-17T11:12:17.264,1.730,1.341,0.610,0.793
1602947537274,2020-10-17T11:12:17.274,1.740,1.280,0.427,0.671
1602947537284,2020-10-17T11:12:17.284,1.750,1.037,0.061,0.427
1602947537294,2020-10-17T11:12:17.294,1.760,0.976,-0.061,0.183
1602947537304,2020-10-17T11:12:17.304,1.770,0.854,-0.305,-0.122
1602947537314,2020-10-17T11:12:17.314,1.780,0.732,-0.549,-0.305
1602947537324,2020-10-17T11:12:17.324,1.790,0.610,-0.732,-0.244
1602947537334,2020-10-17T11:12:17.334,1.800,0.427,-0.793,-0.122
1602947537344,2020-10-17T11:12:17.344,1.810,0.305,-0.915,-0.061
1602947537354,2020-10-17T11:12:17.354,1.820,0.244,-1.159,-0.061
1602947537364,2020-10-17T11:12:17.364,1.830,0.244,-1.280,0.000
1602947537374,2020-10-17T11:12:17.374,1.840,0.061,-1.402,0.244
1602947537384,2020-10-17T11:12:17.384,1.850,0.122,-1.524,0.366
1602947537394,2020-10-17T11:12:17.394,1.860,0.122,-1.646,0.549
