epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1602947747086,2020-10-17T11:15:47.086,0.000,99413.984
1602947747222,2020-10-17T11:15:47.222,0.136,99406.641
1602947747359,2020-10-17T11:15:47.359,0.273,99410.969
1602947747493,2020-10-17T11:15:47.493,0.407,99408.336
1602947747630,2020-10-17T11:15:47.630,0.544,99406.531
1602947747766,2020-10-17T11:15:47.766,0.680,99403.453
1602947747901,2020-10-17T11:15:47.901,0.815,99402.594
1602947748037,2020-10-17T11:15:48.037,0.951,99407.398
1602947748173,2020-10-17T11:15:48.173,1.087,99404.281
1602947748308,2020-10-17T11:15:48.308,1.222,99405.594
1602947748444,2020-10-17T11:15:48.444,1.358,99410.859
1602947748579,2020-10-17T11:15:48.579,1.493,99403.797
1602947748715,2020-10-17T11:15:48.715,1.629,99401.648
1602947748851,2020-10-17T11:15:48.851,1.765,99403.797
1602947748986,2020-10-17T11:15:48.986,1.900,99403.797
1602947749122,2020-10-17T11:15:49.122,2.036,99406.422
1602947749259,2020-10-17T11:15:49.259,2.173,99399.844
1602947749393,2020-10-17T11:15:49.393,2.307,99407.641
1602947749530,2020-10-17T11:15:49.530,2.444,99401.156
1602947749666,2020-10-17T11:15:49.666,2.580,99406.805
1602947749801,2020-10-17T11:15:49.801,2.715,99400.219
1602947749937,2020-10-17T11:15:49.937,2.851,99405.484
1602947750073,2020-10-17T11:15:50.073,2.987,99408.578
1602947750208,2020-10-17T11:15:50.208,3.122,99410.750
1602947750344,2020-10-17T11:15:50.344,3.258,99409.438
1602947750479,2020-10-17T11:15:50.479,3.393,99407.148
1602947750615,2020-10-17T11:15:50.615,3.529,99406.805
1602947750751,2020-10-17T11:15:50.751,3.665,99404.625
1602947750886,2020-10-17T11:15:50.886,3.800,99407.641
1602947751022,2020-10-17T11:15:51.022,3.936,99405.828
1602947751158,2020-10-17T11:15:51.158,4.072,99407.641
1602947751293,2020-10-17T11:15:51.293,4.207,99404.516
1602947751429,2020-10-17T11:15:51.429,4.343,99403.688
1602947751564,2020-10-17T11:15:51.564,4.478,99399.250
1602947751700,2020-10-17T11:15:51.700,4.614,99403.195
1602947751837,2020-10-17T11:15:51.837,4.751,99402.750
1602947751971,2020-10-17T11:15:51.971,4.885,99403.578
1602947752108,2020-10-17T11:15:52.108,5.022,99403.578
1602947752244,2020-10-17T11:15:52.244,5.158,99404.063
1602947752379,2020-10-17T11:15:52.379,5.293,99405.719
1602947752515,2020-10-17T11:15:52.515,5.429,99402.750
1602947752650,2020-10-17T11:15:52.650,5.564,99405.234
1602947752786,2020-10-17T11:15:52.786,5.700,99405.234
1602947752922,2020-10-17T11:15:52.922,5.836,99401.773
1602947753057,2020-10-17T11:15:53.057,5.971,99404.406
1602947753193,2020-10-17T11:15:53.193,6.107,99409.188
1602947753329,2020-10-17T11:15:53.329,6.243,99405.719
1602947753464,2020-10-17T11:15:53.464,6.378,99407.414
1602947753600,2020-10-17T11:15:53.600,6.514,99403.469
1602947753735,2020-10-17T11:15:53.735,6.649,99405.234
1602947753871,2020-10-17T11:15:53.871,6.785,99408.734
1602947754008,2020-10-17T11:15:54.008,6.922,99404.297
1602947754142,2020-10-17T11:15:54.142,7.056,99405.234
1602947754279,2020-10-17T11:15:54.279,7.193,99407.414
1602947754415,2020-10-17T11:15:54.415,7.329,99406.438
1602947754550,2020-10-17T11:15:54.550,7.464,99409.563
1602947754686,2020-10-17T11:15:54.686,7.600,99408.242
1602947754821,2020-10-17T11:15:54.821,7.735,99398.547
1602947754957,2020-10-17T11:15:54.957,7.871,99405.609
1602947755093,2020-10-17T11:15:55.093,8.007,99402.492
1602947755228,2020-10-17T11:15:55.228,8.142,99404.672
1602947755364,2020-10-17T11:15:55.364,8.278,99409.453
1602947755500,2020-10-17T11:15:55.500,8.414,99401.547
1602947755635,2020-10-17T11:15:55.635,8.549,99400.234
1602947755771,2020-10-17T11:15:55.771,8.685,99402.875
1602947755906,2020-10-17T11:15:55.906,8.820,99395.453
1602947756042,2020-10-17T11:15:56.042,8.956,99401.063
1602947756178,2020-10-17T11:15:56.178,9.092,99395.797
1602947756313,2020-10-17T11:15:56.313,9.227,99399.266
1602947756449,2020-10-17T11:15:56.449,9.363,99399.750
1602947756586,2020-10-17T11:15:56.586,9.500,99397.953
1602947756720,2020-10-17T11:15:56.720,9.634,99397.117
1602947756857,2020-10-17T11:15:56.857,9.771,99402.383
1602947756993,2020-10-17T11:15:56.993,9.907,99408.031
1602947757128,2020-10-17T11:15:57.128,10.042,99399.266
1602947757264,2020-10-17T11:15:57.264,10.178,99397.492
1602947757399,2020-10-17T11:15:57.399,10.313,99402.766
1602947757535,2020-10-17T11:15:57.535,10.449,99402.766
1602947757671,2020-10-17T11:15:57.671,10.585,99397.953
1602947757806,2020-10-17T11:15:57.806,10.720,99408.367
1602947757942,2020-10-17T11:15:57.942,10.856,99396.180
1602947758078,2020-10-17T11:15:58.078,10.992,99400.578
1602947758213,2020-10-17T11:15:58.213,11.127,99402.766
1602947758349,2020-10-17T11:15:58.349,11.263,99402.766
1602947758484,2020-10-17T11:15:58.484,11.398,99404.422
1602947758620,2020-10-17T11:15:58.620,11.534,99400.469
1602947758757,2020-10-17T11:15:58.757,11.671,99401.781
1602947758891,2020-10-17T11:15:58.891,11.805,99403.586
1602947759028,2020-10-17T11:15:59.028,11.942,99400.016
1602947759164,2020-10-17T11:15:59.164,12.078,99397.492
1602947759299,2020-10-17T11:15:59.299,12.213,99406.594
1602947759435,2020-10-17T11:15:59.435,12.349,99405.734
1602947759570,2020-10-17T11:15:59.570,12.484,99399.156
1602947759706,2020-10-17T11:15:59.706,12.620,99399.641
1602947759842,2020-10-17T11:15:59.842,12.756,99400.469
1602947759977,2020-10-17T11:15:59.977,12.891,99401.781
1602947760113,2020-10-17T11:16:00.113,13.027,99402.648
1602947760249,2020-10-17T11:16:00.249,13.163,99411.375
1602947760384,2020-10-17T11:16:00.384,13.298,99400.844
1602947760520,2020-10-17T11:16:00.520,13.434,99407.430
1602947760657,2020-10-17T11:16:00.657,13.571,99411.375
1602947760791,2020-10-17T11:16:00.791,13.705,99402.164
1602947760928,2020-10-17T11:16:00.928,13.842,99400.016
1602947761062,2020-10-17T11:16:01.062,13.976,99399.531
1602947761199,2020-10-17T11:16:01.199,14.113,99399.531
1602947761335,2020-10-17T11:16:01.335,14.249,99400.844
1602947761470,2020-10-17T11:16:01.470,14.384,99403.484
1602947761606,2020-10-17T11:16:01.606,14.520,99402.164
1602947761742,2020-10-17T11:16:01.742,14.656,99403.000
1602947761877,2020-10-17T11:16:01.877,14.791,99401.672
