epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1602948222968,2020-10-17T11:23:42.968,0.000,0.000093562,0.000059187,0.000040937
1602948223018,2020-10-17T11:23:43.018,0.050,0.000095000,0.000058062,0.000041313
1602948223068,2020-10-17T11:23:43.068,0.100,0.000096813,0.000057375,0.000041688
1602948223118,2020-10-17T11:23:43.118,0.150,0.000097938,0.000055563,0.000042125
1602948223168,2020-10-17T11:23:43.168,0.200,0.000100062,0.000054437,0.000041313
1602948223218,2020-10-17T11:23:43.218,0.250,0.000100062,0.000054437,0.000043688
1602948223268,2020-10-17T11:23:43.268,0.300,0.000100062,0.000054437,0.000043688
1602948223318,2020-10-17T11:23:43.318,0.350,0.000099750,0.000053375,0.000042875
1602948223368,2020-10-17T11:23:43.368,0.400,0.000100812,0.000054063,0.000045187
1602948223418,2020-10-17T11:23:43.418,0.450,0.000099000,0.000053750,0.000044063
1602948223468,2020-10-17T11:23:43.468,0.500,0.000098312,0.000054812,0.000044438
1602948223518,2020-10-17T11:23:43.518,0.550,0.000097187,0.000054812,0.000045187
1602948223568,2020-10-17T11:23:43.568,0.600,0.000095375,0.000054437,0.000045625
1602948223618,2020-10-17T11:23:43.618,0.650,0.000095375,0.000057375,0.000045625
1602948223668,2020-10-17T11:23:43.668,0.700,0.000094312,0.000054812,0.000044438
1602948223718,2020-10-17T11:23:43.718,0.750,0.000094312,0.000055187,0.000044812
1602948223768,2020-10-17T11:23:43.768,0.800,0.000093187,0.000054437,0.000045187
1602948223818,2020-10-17T11:23:43.818,0.850,0.000091750,0.000056250,0.000044063
1602948223868,2020-10-17T11:23:43.868,0.900,0.000091000,0.000054812,0.000045250
1602948223918,2020-10-17T11:23:43.918,0.950,0.000091000,0.000055187,0.000044812
1602948223968,2020-10-17T11:23:43.968,1.000,0.000089938,0.000055563,0.000045625
1602948224018,2020-10-17T11:23:44.018,1.050,0.000089562,0.000054812,0.000044438
1602948224068,2020-10-17T11:23:44.068,1.100,0.000088500,0.000053750,0.000046375
1602948224118,2020-10-17T11:23:44.118,1.150,0.000087750,0.000053750,0.000045250
