epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1603549708763,2020-10-24T10:28:28.763,0.000,-0.000038813,-0.000118187,0.000034250
1603549708813,2020-10-24T10:28:28.813,0.050,-0.000039562,-0.000118187,0.000033875
1603549708863,2020-10-24T10:28:28.863,0.100,-0.000040313,-0.000117437,0.000035063
1603549708913,2020-10-24T10:28:28.913,0.150,-0.000039937,-0.000118187,0.000035063
1603549708963,2020-10-24T10:28:28.963,0.200,-0.000040313,-0.000118938,0.000034312
1603549709013,2020-10-24T10:28:29.013,0.250,-0.000040625,-0.000118563,0.000034312
1603549709063,2020-10-24T10:28:29.063,0.300,-0.000040313,-0.000118563,0.000033500
1603549709113,2020-10-24T10:28:29.113,0.350,-0.000039188,-0.000118938,0.000035438
1603549709163,2020-10-24T10:28:29.163,0.400,-0.000039937,-0.000119625,0.000034687
1603549709213,2020-10-24T10:28:29.213,0.450,-0.000041000,-0.000118938,0.000035812
1603549709263,2020-10-24T10:28:29.263,0.500,-0.000039562,-0.000117813,0.000033875
1603549709313,2020-10-24T10:28:29.313,0.550,-0.000040625,-0.000118187,0.000034312
1603549709363,2020-10-24T10:28:29.363,0.600,-0.000040313,-0.000118938,0.000033938
1603549709413,2020-10-24T10:28:29.413,0.650,-0.000039562,-0.000117813,0.000034312
1603549709463,2020-10-24T10:28:29.463,0.700,-0.000039937,-0.000118938,0.000033125
1603549709513,2020-10-24T10:28:29.513,0.750,-0.000039562,-0.000118938,0.000032750
1603549709563,2020-10-24T10:28:29.563,0.800,-0.000040625,-0.000116750,0.000033125
1603549709613,2020-10-24T10:28:29.613,0.850,-0.000038813,-0.000113813,0.000035438
1603549709663,2020-10-24T10:28:29.663,0.900,-0.000039562,-0.000112063,0.000033563
1603549709713,2020-10-24T10:28:29.713,0.950,-0.000038500,-0.000110938,0.000031250
1603549709763,2020-10-24T10:28:29.763,1.000,-0.000039188,-0.000108750,0.000028500
1603549709813,2020-10-24T10:28:29.813,1.050,-0.000038500,-0.000105500,0.000026563
1603549709863,2020-10-24T10:28:29.863,1.100,-0.000038125,-0.000099688,0.000025062
1603549709913,2020-10-24T10:28:29.913,1.150,-0.000037750,-0.000090625,0.000024250
1603549709963,2020-10-24T10:28:29.963,1.200,-0.000040313,-0.000081563,0.000025062
1603549710013,2020-10-24T10:28:30.013,1.250,-0.000042125,-0.000070687,0.000029688
1603549710063,2020-10-24T10:28:30.063,1.300,-0.000043563,-0.000062687,0.000034687
1603549710113,2020-10-24T10:28:30.113,1.350,-0.000043937,-0.000056563,0.000038187
1603549710163,2020-10-24T10:28:30.163,1.400,-0.000045000,-0.000052188,0.000040875
1603549710213,2020-10-24T10:28:30.213,1.450,-0.000042125,-0.000048938,0.000040875
1603549710263,2020-10-24T10:28:30.263,1.500,-0.000039562,-0.000049625,0.000041250
1603549710313,2020-10-24T10:28:30.313,1.550,-0.000037375,-0.000054000,0.000035063
1603549710363,2020-10-24T10:28:30.363,1.600,-0.000035563,-0.000057625,0.000032375
1603549710413,2020-10-24T10:28:30.413,1.650,-0.000033063,-0.000059062,0.000031188
1603549710463,2020-10-24T10:28:30.463,1.700,-0.000032688,-0.000066687,0.000029688
1603549710513,2020-10-24T10:28:30.513,1.750,-0.000032312,-0.000070312,0.000027375
1603549710563,2020-10-24T10:28:30.563,1.800,-0.000033750,-0.000073562,0.000030062
1603549710613,2020-10-24T10:28:30.613,1.850,-0.000029750,-0.000072125,0.000028125
1603549710663,2020-10-24T10:28:30.663,1.900,-0.000028688,-0.000072125,0.000030062
1603549710713,2020-10-24T10:28:30.713,1.950,-0.000030875,-0.000075062,0.000025813
