epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1604167980109,2020-10-31T14:13:00.109,0.000,99247.672
1604167980245,2020-10-31T14:13:00.245,0.136,99245.047
1604167980380,2020-10-31T14:13:00.380,0.271,99246.359
1604167980516,2020-10-31T14:13:00.516,0.407,99245.047
1604167980652,2020-10-31T14:13:00.652,0.543,99245.969
1604167980787,2020-10-31T14:13:00.787,0.678,99245.969
1604167980923,2020-10-31T14:13:00.923,0.814,99241.656
1604167981060,2020-10-31T14:13:01.060,0.951,99241.656
1604167981194,2020-10-31T14:13:01.194,1.085,99244.273
1604167981331,2020-10-31T14:13:01.331,1.222,99243.922
1604167981465,2020-10-31T14:13:01.465,1.356,99241.781
1604167981602,2020-10-31T14:13:01.602,1.493,99239.039
1604167981738,2020-10-31T14:13:01.738,1.629,99238.688
1604167981873,2020-10-31T14:13:01.873,1.764,99246.531
1604167982009,2020-10-31T14:13:02.009,1.900,99242.219
1604167982145,2020-10-31T14:13:02.145,2.036,99243.438
1604167982280,2020-10-31T14:13:02.280,2.171,99247.359
1604167982416,2020-10-31T14:13:02.416,2.307,99235.680
1604167982552,2020-10-31T14:13:02.552,2.443,99242.133
1604167982687,2020-10-31T14:13:02.687,2.578,99242.133
1604167982823,2020-10-31T14:13:02.823,2.714,99239.906
1604167982958,2020-10-31T14:13:02.958,2.849,99235.117
1604167983094,2020-10-31T14:13:03.094,2.985,99240.734
1604167983231,2020-10-31T14:13:03.231,3.122,99240.734
1604167983365,2020-10-31T14:13:03.365,3.256,99239.430
1604167983502,2020-10-31T14:13:03.502,3.393,99243.352
1604167983636,2020-10-31T14:13:03.636,3.527,99242.047
1604167983773,2020-10-31T14:13:03.773,3.664,99240.734
1604167983909,2020-10-31T14:13:03.909,3.800,99239.430
1604167984044,2020-10-31T14:13:04.044,3.935,99240.734
1604167984180,2020-10-31T14:13:04.180,4.071,99241.563
1604167984316,2020-10-31T14:13:04.316,4.207,99242.047
1604167984451,2020-10-31T14:13:04.451,4.342,99243.352
1604167984587,2020-10-31T14:13:04.587,4.478,99235.500
1604167984722,2020-10-31T14:13:04.722,4.613,99240.734
1604167984858,2020-10-31T14:13:04.858,4.749,99236.813
1604167984994,2020-10-31T14:13:04.994,4.885,99245.578
1604167985129,2020-10-31T14:13:05.129,5.020,99241.656
1604167985265,2020-10-31T14:13:05.265,5.156,99242.047
1604167985401,2020-10-31T14:13:05.401,5.292,99241.211
1604167985536,2020-10-31T14:13:05.536,5.427,99244.664
1604167985672,2020-10-31T14:13:05.672,5.563,99240.828
1604167985807,2020-10-31T14:13:05.807,5.698,99241.211
1604167985943,2020-10-31T14:13:05.943,5.834,99235.117
1604167986080,2020-10-31T14:13:06.080,5.971,99243.352
1604167986214,2020-10-31T14:13:06.214,6.105,99241.656
1604167986351,2020-10-31T14:13:06.351,6.242,99242.969
1604167986487,2020-10-31T14:13:06.487,6.378,99245.219
1604167986622,2020-10-31T14:13:06.622,6.513,99240.000
1604167986758,2020-10-31T14:13:06.758,6.649,99243.922
1604167986893,2020-10-31T14:13:06.893,6.784,99240.172
1604167987029,2020-10-31T14:13:07.029,6.920,99238.031
1604167987165,2020-10-31T14:13:07.165,7.056,99238.469
1604167987300,2020-10-31T14:13:07.300,7.191,99239.781
1604167987436,2020-10-31T14:13:07.436,7.327,99246.875
1604167987572,2020-10-31T14:13:07.572,7.463,99242.125
1604167987707,2020-10-31T14:13:07.707,7.598,99244.742
1604167987843,2020-10-31T14:13:07.843,7.734,99242.602
1604167987978,2020-10-31T14:13:07.978,7.869,99246.531
1604167988114,2020-10-31T14:13:08.114,8.005,99248.750
1604167988251,2020-10-31T14:13:08.251,8.142,99246.141
1604167988385,2020-10-31T14:13:08.385,8.276,99246.141
1604167988522,2020-10-31T14:13:08.522,8.413,99250.063
1604167988658,2020-10-31T14:13:08.658,8.549,99247.445
1604167988793,2020-10-31T14:13:08.793,8.684,99248.391
1604167988929,2020-10-31T14:13:08.929,8.820,99245.781
1604167989064,2020-10-31T14:13:09.064,8.955,99244.469
1604167989200,2020-10-31T14:13:09.200,9.091,99242.352
1604167989336,2020-10-31T14:13:09.336,9.227,99239.742
1604167989471,2020-10-31T14:13:09.471,9.362,99244.969
1604167989607,2020-10-31T14:13:09.607,9.498,99245.391
1604167989743,2020-10-31T14:13:09.743,9.634,99239.297
1604167989878,2020-10-31T14:13:09.878,9.769,99245.445
1604167990014,2020-10-31T14:13:10.014,9.905,99244.086
1604167990150,2020-10-31T14:13:10.150,10.041,99239.297
1604167990285,2020-10-31T14:13:10.285,10.176,99241.859
1604167990421,2020-10-31T14:13:10.421,10.312,99241.469
1604167990556,2020-10-31T14:13:10.556,10.447,99239.688
1604167990692,2020-10-31T14:13:10.692,10.583,99244.086
1604167990829,2020-10-31T14:13:10.829,10.720,99243.609
1604167990963,2020-10-31T14:13:10.963,10.854,99249.234
1604167991100,2020-10-31T14:13:11.100,10.991,99246.609
1604167991236,2020-10-31T14:13:11.236,11.127,99242.211
1604167991372,2020-10-31T14:13:11.372,11.263,99243.172
1604167991507,2020-10-31T14:13:11.507,11.398,99238.766
