epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1603639151899,2020-10-25T11:19:11.899,0.000,-0.658,-0.685,0.324
1603639151909,2020-10-25T11:19:11.909,0.010,-0.662,-0.689,0.328
1603639151919,2020-10-25T11:19:11.919,0.020,-0.662,-0.691,0.330
1603639151929,2020-10-25T11:19:11.929,0.030,-0.661,-0.689,0.329
1603639151939,2020-10-25T11:19:11.939,0.040,-0.660,-0.683,0.331
1603639151949,2020-10-25T11:19:11.949,0.050,-0.661,-0.685,0.327
1603639151959,2020-10-25T11:19:11.959,0.060,-0.663,-0.687,0.326
1603639151969,2020-10-25T11:19:11.969,0.070,-0.661,-0.687,0.328
1603639151979,2020-10-25T11:19:11.979,0.080,-0.662,-0.688,0.326
1603639151989,2020-10-25T11:19:11.989,0.090,-0.665,-0.691,0.324
1603639151999,2020-10-25T11:19:11.999,0.100,-0.666,-0.690,0.323
1603639152009,2020-10-25T11:19:12.009,0.110,-0.664,-0.686,0.320
1603639152019,2020-10-25T11:19:12.019,0.120,-0.670,-0.687,0.321
1603639152029,2020-10-25T11:19:12.029,0.130,-0.671,-0.686,0.319
1603639152039,2020-10-25T11:19:12.039,0.140,-0.675,-0.685,0.321
1603639152049,2020-10-25T11:19:12.049,0.150,-0.680,-0.684,0.320
1603639152059,2020-10-25T11:19:12.059,0.160,-0.678,-0.684,0.320
1603639152069,2020-10-25T11:19:12.069,0.170,-0.676,-0.685,0.319
1603639152079,2020-10-25T11:19:12.079,0.180,-0.679,-0.687,0.318
1603639152089,2020-10-25T11:19:12.089,0.190,-0.681,-0.688,0.320
1603639152099,2020-10-25T11:19:12.099,0.200,-0.681,-0.685,0.318
1603639152109,2020-10-25T11:19:12.109,0.210,-0.679,-0.683,0.317
1603639152119,2020-10-25T11:19:12.119,0.220,-0.679,-0.679,0.315
1603639152129,2020-10-25T11:19:12.129,0.230,-0.681,-0.677,0.317
1603639152139,2020-10-25T11:19:12.139,0.240,-0.678,-0.677,0.315
1603639152149,2020-10-25T11:19:12.149,0.250,-0.675,-0.677,0.318
1603639152159,2020-10-25T11:19:12.159,0.260,-0.675,-0.675,0.318
1603639152169,2020-10-25T11:19:12.169,0.270,-0.674,-0.673,0.318
