epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1603640270755,2020-10-25T11:37:50.755,0.000,0.000016250,-0.000038750,-0.000016000
1603640270805,2020-10-25T11:37:50.805,0.050,0.000014437,-0.000039062,-0.000015250
1603640270855,2020-10-25T11:37:50.855,0.100,0.000014437,-0.000039062,-0.000016375
1603640270905,2020-10-25T11:37:50.905,0.150,0.000013375,-0.000039437,-0.000015250
1603640270955,2020-10-25T11:37:50.955,0.200,0.000014062,-0.000039437,-0.000017187
1603640271005,2020-10-25T11:37:51.005,0.250,0.000014437,-0.000038750,-0.000015625
1603640271055,2020-10-25T11:37:51.055,0.300,0.000014125,-0.000038375,-0.000015250
1603640271105,2020-10-25T11:37:51.105,0.350,0.000013750,-0.000038750,-0.000016000
1603640271155,2020-10-25T11:37:51.155,0.400,0.000013000,-0.000038375,-0.000016375
1603640271205,2020-10-25T11:37:51.205,0.450,0.000013750,-0.000038750,-0.000016000
1603640271255,2020-10-25T11:37:51.255,0.500,0.000014125,-0.000038750,-0.000016750
1603640271305,2020-10-25T11:37:51.305,0.550,0.000013375,-0.000038750,-0.000015625
1603640271355,2020-10-25T11:37:51.355,0.600,0.000013375,-0.000038750,-0.000014875
1603640271405,2020-10-25T11:37:51.405,0.650,0.000013750,-0.000038000,-0.000016000
1603640271455,2020-10-25T11:37:51.455,0.700,0.000014437,-0.000038000,-0.000015625
1603640271505,2020-10-25T11:37:51.505,0.750,0.000013375,-0.000037625,-0.000014875
1603640271555,2020-10-25T11:37:51.555,0.800,0.000014437,-0.000038000,-0.000015250
1603640271605,2020-10-25T11:37:51.605,0.850,0.000014437,-0.000038375,-0.000015250
1603640271655,2020-10-25T11:37:51.655,0.900,0.000014125,-0.000038000,-0.000014875
1603640271705,2020-10-25T11:37:51.705,0.950,0.000014813,-0.000038375,-0.000016000
1603640271755,2020-10-25T11:37:51.755,1.000,0.000013375,-0.000038750,-0.000014500
1603640271805,2020-10-25T11:37:51.805,1.050,0.000013750,-0.000038750,-0.000015625
1603640271855,2020-10-25T11:37:51.855,1.100,0.000014125,-0.000038375,-0.000014875
1603640271905,2020-10-25T11:37:51.905,1.150,0.000015188,-0.000039437,-0.000015625
1603640271955,2020-10-25T11:37:51.955,1.200,0.000015563,-0.000039062,-0.000014500
1603640272005,2020-10-25T11:37:52.005,1.250,0.000015875,-0.000039437,-0.000014875
1603640272055,2020-10-25T11:37:52.055,1.300,0.000014813,-0.000038750,-0.000016000
1603640272105,2020-10-25T11:37:52.105,1.350,0.000017000,-0.000039813,-0.000016437
1603640272155,2020-10-25T11:37:52.155,1.400,0.000015875,-0.000039813,-0.000014875
1603640272205,2020-10-25T11:37:52.205,1.450,0.000016250,-0.000039813,-0.000016000
1603640272255,2020-10-25T11:37:52.255,1.500,0.000015188,-0.000040188,-0.000016437
1603640272305,2020-10-25T11:37:52.305,1.550,0.000015875,-0.000040188,-0.000016000
1603640272355,2020-10-25T11:37:52.355,1.600,0.000017000,-0.000040562,-0.000015625
1603640272405,2020-10-25T11:37:52.405,1.650,0.000015188,-0.000040562,-0.000017187
1603640272455,2020-10-25T11:37:52.455,1.700,0.000015937,-0.000040875,-0.000016437
1603640272505,2020-10-25T11:37:52.505,1.750,0.000016250,-0.000040875,-0.000016437
1603640272555,2020-10-25T11:37:52.555,1.800,0.000015875,-0.000041250,-0.000016437
1603640272605,2020-10-25T11:37:52.605,1.850,0.000015563,-0.000041250,-0.000016813
1603640272655,2020-10-25T11:37:52.655,1.900,0.000015875,-0.000042000,-0.000017187
1603640272705,2020-10-25T11:37:52.705,1.950,0.000014813,-0.000040875,-0.000017938
1603640272755,2020-10-25T11:37:52.755,2.000,0.000014813,-0.000040562,-0.000017938
1603640272805,2020-10-25T11:37:52.805,2.050,0.000014813,-0.000041625,-0.000017187
1603640272855,2020-10-25T11:37:52.855,2.100,0.000014813,-0.000042000,-0.000018688
1603640272905,2020-10-25T11:37:52.905,2.150,0.000015188,-0.000041250,-0.000018688
1603640272955,2020-10-25T11:37:52.955,2.200,0.000013000,-0.000040875,-0.000019438
1603640273005,2020-10-25T11:37:53.005,2.250,0.000014125,-0.000040875,-0.000017938
1603640273055,2020-10-25T11:37:53.055,2.300,0.000013000,-0.000041625,-0.000018688
1603640273105,2020-10-25T11:37:53.105,2.350,0.000013000,-0.000041625,-0.000020250
1603640273155,2020-10-25T11:37:53.155,2.400,0.000012313,-0.000041625,-0.000019438
1603640273205,2020-10-25T11:37:53.205,2.450,0.000010500,-0.000039813,-0.000021000
1603640273255,2020-10-25T11:37:53.255,2.500,0.000009000,-0.000039813,-0.000021375
1603640273305,2020-10-25T11:37:53.305,2.550,0.000008312,-0.000040875,-0.000021750
1603640273355,2020-10-25T11:37:53.355,2.600,0.000008312,-0.000039437,-0.000021750
1603640273405,2020-10-25T11:37:53.405,2.650,0.000008687,-0.000039813,-0.000021750
1603640273455,2020-10-25T11:37:53.455,2.700,0.000007188,-0.000039062,-0.000022500
1603640273505,2020-10-25T11:37:53.505,2.750,0.000007188,-0.000039437,-0.000021000
1603640273555,2020-10-25T11:37:53.555,2.800,0.000006125,-0.000038750,-0.000023312
1603640273605,2020-10-25T11:37:53.605,2.850,0.000006125,-0.000038375,-0.000022125
1603640273655,2020-10-25T11:37:53.655,2.900,0.000005062,-0.000039437,-0.000022125
1603640273705,2020-10-25T11:37:53.705,2.950,0.000004313,-0.000038375,-0.000022938
1603640273755,2020-10-25T11:37:53.755,3.000,0.000004688,-0.000039813,-0.000022563
1603640273805,2020-10-25T11:37:53.805,3.050,0.000003250,-0.000039437,-0.000022500
1603640273855,2020-10-25T11:37:53.855,3.100,0.000004313,-0.000039062,-0.000022125
1603640273905,2020-10-25T11:37:53.905,3.150,0.000004313,-0.000039062,-0.000021375
1603640273955,2020-10-25T11:37:53.955,3.200,0.000003250,-0.000039062,-0.000022500
1603640274005,2020-10-25T11:37:54.005,3.250,0.000004688,-0.000039437,-0.000022125
1603640274055,2020-10-25T11:37:54.055,3.300,0.000003250,-0.000038375,-0.000023312
1603640274105,2020-10-25T11:37:54.105,3.350,0.000003250,-0.000039437,-0.000022938
1603640274155,2020-10-25T11:37:54.155,3.400,0.000002875,-0.000038750,-0.000023688
1603640274205,2020-10-25T11:37:54.205,3.450,0.000003563,-0.000038000,-0.000024062
1603640274255,2020-10-25T11:37:54.255,3.500,0.000001750,-0.000039062,-0.000022938
1603640274305,2020-10-25T11:37:54.305,3.550,0.000001063,-0.000038750,-0.000023688
1603640274355,2020-10-25T11:37:54.355,3.600,0.000000000,-0.000039062,-0.000024062
1603640274405,2020-10-25T11:37:54.405,3.650,-0.000001125,-0.000038000,-0.000023688
1603640274455,2020-10-25T11:37:54.455,3.700,-0.000000375,-0.000039062,-0.000023688
1603640274505,2020-10-25T11:37:54.505,3.750,-0.000001125,-0.000039813,-0.000022500
1603640274555,2020-10-25T11:37:54.555,3.800,-0.000000375,-0.000038000,-0.000023312
1603640274605,2020-10-25T11:37:54.605,3.850,0.000000312,-0.000038000,-0.000022500
1603640274655,2020-10-25T11:37:54.655,3.900,-0.000000750,-0.000037625,-0.000023312
1603640274705,2020-10-25T11:37:54.705,3.950,-0.000000750,-0.000038750,-0.000022938
1603640274755,2020-10-25T11:37:54.755,4.000,-0.000001813,-0.000036187,-0.000022938
1603640274805,2020-10-25T11:37:54.805,4.050,-0.000000750,-0.000037250,-0.000023312
1603640274855,2020-10-25T11:37:54.855,4.100,-0.000000375,-0.000037625,-0.000022938
1603640274905,2020-10-25T11:37:54.905,4.150,-0.000001125,-0.000038375,-0.000023688
1603640274955,2020-10-25T11:37:54.955,4.200,-0.000000750,-0.000038000,-0.000024062
1603640275005,2020-10-25T11:37:55.005,4.250,-0.000000750,-0.000037625,-0.000024438
1603640275055,2020-10-25T11:37:55.055,4.300,-0.000001500,-0.000038375,-0.000023312
1603640275105,2020-10-25T11:37:55.105,4.350,-0.000001125,-0.000038750,-0.000022500
1603640275155,2020-10-25T11:37:55.155,4.400,-0.000000750,-0.000037625,-0.000023312
1603640275205,2020-10-25T11:37:55.205,4.450,0.000000312,-0.000038375,-0.000022938
1603640275255,2020-10-25T11:37:55.255,4.500,0.000000000,-0.000037250,-0.000022500
1603640275305,2020-10-25T11:37:55.305,4.550,-0.000000375,-0.000038375,-0.000022125
1603640275355,2020-10-25T11:37:55.355,4.600,0.000000312,-0.000038000,-0.000022500
1603640275405,2020-10-25T11:37:55.405,4.650,-0.000000750,-0.000038000,-0.000023688
1603640275455,2020-10-25T11:37:55.455,4.700,0.000000312,-0.000039062,-0.000023312
1603640275505,2020-10-25T11:37:55.505,4.750,-0.000000375,-0.000036938,-0.000024062
1603640275555,2020-10-25T11:37:55.555,4.800,0.000001063,-0.000038375,-0.000022125
1603640275605,2020-10-25T11:37:55.605,4.850,0.000000312,-0.000038750,-0.000022938
1603640275655,2020-10-25T11:37:55.655,4.900,0.000000000,-0.000038000,-0.000022938
1603640275705,2020-10-25T11:37:55.705,4.950,0.000000312,-0.000038750,-0.000022500
1603640275755,2020-10-25T11:37:55.755,5.000,0.000000688,-0.000038375,-0.000022938
1603640275805,2020-10-25T11:37:55.805,5.050,0.000000688,-0.000038375,-0.000024438
1603640275855,2020-10-25T11:37:55.855,5.100,0.000000000,-0.000038000,-0.000023688
1603640275905,2020-10-25T11:37:55.905,5.150,0.000000312,-0.000038000,-0.000022125
1603640275955,2020-10-25T11:37:55.955,5.200,0.000001750,-0.000038750,-0.000024438
1603640276005,2020-10-25T11:37:56.005,5.250,0.000001063,-0.000039062,-0.000023312
1603640276055,2020-10-25T11:37:56.055,5.300,0.000000688,-0.000039813,-0.000022938
1603640276105,2020-10-25T11:37:56.105,5.350,0.000001063,-0.000038750,-0.000022938
1603640276155,2020-10-25T11:37:56.155,5.400,0.000002500,-0.000038750,-0.000022500
1603640276205,2020-10-25T11:37:56.205,5.450,0.000003250,-0.000038750,-0.000023312
1603640276255,2020-10-25T11:37:56.255,5.500,0.000001750,-0.000038375,-0.000022500
1603640276305,2020-10-25T11:37:56.305,5.550,0.000003250,-0.000038000,-0.000022938
1603640276355,2020-10-25T11:37:56.355,5.600,0.000002125,-0.000037625,-0.000022500
1603640276405,2020-10-25T11:37:56.405,5.650,0.000002875,-0.000038750,-0.000022125
1603640276455,2020-10-25T11:37:56.455,5.700,0.000002500,-0.000038750,-0.000022500
1603640276505,2020-10-25T11:37:56.505,5.750,0.000002875,-0.000039062,-0.000022938
1603640276555,2020-10-25T11:37:56.555,5.800,0.000002500,-0.000038375,-0.000022563
1603640276605,2020-10-25T11:37:56.605,5.850,0.000004688,-0.000038750,-0.000022563
1603640276655,2020-10-25T11:37:56.655,5.900,0.000004688,-0.000039437,-0.000021750
1603640276705,2020-10-25T11:37:56.705,5.950,0.000005750,-0.000037625,-0.000022125
1603640276755,2020-10-25T11:37:56.755,6.000,0.000007562,-0.000038750,-0.000021000
1603640276805,2020-10-25T11:37:56.805,6.050,0.000007562,-0.000038375,-0.000021000
1603640276855,2020-10-25T11:37:56.855,6.100,0.000007938,-0.000037625,-0.000020625
1603640276905,2020-10-25T11:37:56.905,6.150,0.000009375,-0.000038375,-0.000019500
1603640276955,2020-10-25T11:37:56.955,6.200,0.000009000,-0.000037625,-0.000018312
1603640277005,2020-10-25T11:37:57.005,6.250,0.000010125,-0.000038000,-0.000018312
1603640277055,2020-10-25T11:37:57.055,6.300,0.000011187,-0.000038375,-0.000017562
1603640277105,2020-10-25T11:37:57.105,6.350,0.000011187,-0.000038000,-0.000017562
1603640277155,2020-10-25T11:37:57.155,6.400,0.000011187,-0.000037625,-0.000017562
1603640277205,2020-10-25T11:37:57.205,6.450,0.000011562,-0.000038375,-0.000016813
1603640277255,2020-10-25T11:37:57.255,6.500,0.000013000,-0.000037625,-0.000016813
