epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1604160668657,2020-10-31T12:11:08.657,0.000,99512.813
1604160668792,2020-10-31T12:11:08.792,0.135,99514.945
1604160668928,2020-10-31T12:11:08.928,0.271,99517.547
1604160669065,2020-10-31T12:11:09.065,0.408,99518.391
1604160669199,2020-10-31T12:11:09.199,0.542,99515.406
1604160669336,2020-10-31T12:11:09.336,0.679,99514.109
1604160669472,2020-10-31T12:11:09.472,0.815,99524.516
1604160669607,2020-10-31T12:11:09.607,0.950,99525.813
1604160669743,2020-10-31T12:11:09.743,1.086,99525.813
1604160669878,2020-10-31T12:11:09.878,1.221,99520.203
1604160670014,2020-10-31T12:11:10.014,1.357,99518.906
1604160670150,2020-10-31T12:11:10.150,1.493,99519.367
1604160670285,2020-10-31T12:11:10.285,1.628,99517.234
1604160670421,2020-10-31T12:11:10.421,1.764,99514.172
1604160670557,2020-10-31T12:11:10.557,1.900,99509.422
1604160670692,2020-10-31T12:11:10.692,2.035,99508.969
1604160670828,2020-10-31T12:11:10.828,2.171,99505.531
1604160670965,2020-10-31T12:11:10.965,2.308,99513.703
1604160671099,2020-10-31T12:11:11.099,2.442,99515.469
1604160671236,2020-10-31T12:11:11.236,2.579,99512.453
1604160671372,2020-10-31T12:11:11.372,2.715,99511.156
1604160671506,2020-10-31T12:11:11.506,2.849,99511.156
1604160671643,2020-10-31T12:11:11.643,2.986,99513.391
1604160671779,2020-10-31T12:11:11.779,3.122,99516.453
1604160671914,2020-10-31T12:11:11.914,3.257,99515.156
1604160672050,2020-10-31T12:11:12.050,3.393,99510.008
1604160672185,2020-10-31T12:11:12.185,3.528,99512.664
1604160672321,2020-10-31T12:11:12.321,3.664,99513.555
1604160672457,2020-10-31T12:11:12.457,3.800,99512.719
1604160672592,2020-10-31T12:11:12.592,3.935,99511.422
1604160672728,2020-10-31T12:11:12.728,4.071,99509.281
1604160672864,2020-10-31T12:11:12.864,4.207,99515.375
1604160672999,2020-10-31T12:11:12.999,4.342,99513.609
1604160673135,2020-10-31T12:11:13.135,4.478,99516.672
1604160673270,2020-10-31T12:11:13.270,4.613,99514.078
1604160673406,2020-10-31T12:11:13.406,4.749,99511.109
1604160673543,2020-10-31T12:11:13.543,4.886,99514.133
1604160673677,2020-10-31T12:11:13.677,5.020,99508.500
1604160673814,2020-10-31T12:11:13.814,5.157,99510.695
1604160673950,2020-10-31T12:11:13.950,5.293,99506.797
1604160674085,2020-10-31T12:11:14.085,5.428,99511.109
1604160674221,2020-10-31T12:11:14.221,5.564,99505.500
1604160674356,2020-10-31T12:11:14.356,5.699,99513.297
1604160674492,2020-10-31T12:11:14.492,5.835,99510.234
1604160674628,2020-10-31T12:11:14.628,5.971,99512.828
1604160674763,2020-10-31T12:11:14.763,6.106,99515.898
1604160674899,2020-10-31T12:11:14.899,6.242,99508.930
1604160675035,2020-10-31T12:11:15.035,6.378,99511.109
1604160675170,2020-10-31T12:11:15.170,6.513,99514.133
1604160675306,2020-10-31T12:11:15.306,6.649,99512.406
1604160675443,2020-10-31T12:11:15.443,6.786,99509.797
1604160675577,2020-10-31T12:11:15.577,6.920,99515.844
1604160675714,2020-10-31T12:11:15.714,7.057,99513.609
1604160675850,2020-10-31T12:11:15.850,7.193,99510.172
1604160675985,2020-10-31T12:11:15.985,7.328,99506.281
1604160676121,2020-10-31T12:11:16.121,7.464,99511.938
1604160676257,2020-10-31T12:11:16.257,7.600,99508.039
1604160676392,2020-10-31T12:11:16.392,7.735,99512.781
1604160676528,2020-10-31T12:11:16.528,7.871,99512.406
1604160676663,2020-10-31T12:11:16.663,8.006,99508.039
1604160676799,2020-10-31T12:11:16.799,8.142,99510.641
1604160676935,2020-10-31T12:11:16.935,8.278,99513.242
1604160677070,2020-10-31T12:11:17.070,8.413,99513.242
1604160677206,2020-10-31T12:11:17.206,8.549,99511.938
1604160677342,2020-10-31T12:11:17.342,8.685,99506.734
1604160677477,2020-10-31T12:11:17.477,8.820,99513.242
1604160677613,2020-10-31T12:11:17.613,8.956,99516.672
1604160677748,2020-10-31T12:11:17.748,9.091,99513.609
1604160677884,2020-10-31T12:11:17.884,9.227,99515.000
1604160678021,2020-10-31T12:11:18.021,9.364,99513.242
1604160678155,2020-10-31T12:11:18.155,9.498,99513.242
1604160678292,2020-10-31T12:11:18.292,9.635,99510.234
1604160678428,2020-10-31T12:11:18.428,9.771,99511.531
1604160678563,2020-10-31T12:11:18.563,9.906,99511.531
1604160678699,2020-10-31T12:11:18.699,10.042,99514.188
1604160678835,2020-10-31T12:11:18.835,10.178,99514.594
1604160678970,2020-10-31T12:11:18.970,10.313,99511.156
1604160679106,2020-10-31T12:11:19.106,10.449,99511.531
1604160679242,2020-10-31T12:11:19.242,10.585,99512.000
1604160679377,2020-10-31T12:11:19.377,10.720,99508.992
1604160679513,2020-10-31T12:11:19.513,10.856,99509.391
1604160679650,2020-10-31T12:11:19.650,10.993,99507.258
1604160679784,2020-10-31T12:11:19.784,11.127,99507.258
1604160679921,2020-10-31T12:11:19.921,11.264,99508.563
1604160680055,2020-10-31T12:11:20.055,11.398,99509.391
1604160680192,2020-10-31T12:11:20.192,11.535,99508.094
1604160680328,2020-10-31T12:11:20.328,11.671,99512.406
1604160680463,2020-10-31T12:11:20.463,11.806,99507.633
1604160680599,2020-10-31T12:11:20.599,11.942,99510.234
1604160680735,2020-10-31T12:11:20.735,12.078,99514.594
1604160680870,2020-10-31T12:11:20.870,12.213,99511.109
1604160681006,2020-10-31T12:11:21.006,12.349,99510.695
1604160681141,2020-10-31T12:11:21.141,12.484,99508.094
1604160681277,2020-10-31T12:11:21.277,12.620,99513.297
1604160681413,2020-10-31T12:11:21.413,12.756,99508.094
1604160681548,2020-10-31T12:11:21.548,12.891,99514.133
1604160681684,2020-10-31T12:11:21.684,13.027,99512.000
1604160681820,2020-10-31T12:11:21.820,13.163,99509.391
1604160681955,2020-10-31T12:11:21.955,13.298,99514.594
1604160682091,2020-10-31T12:11:22.091,13.434,99512.453
1604160682226,2020-10-31T12:11:22.226,13.569,99515.438
1604160682362,2020-10-31T12:11:22.362,13.705,99507.688
1604160682499,2020-10-31T12:11:22.499,13.842,99521.094
1604160682633,2020-10-31T12:11:22.633,13.976,99525.000
1604160682770,2020-10-31T12:11:22.770,14.113,99524.594
1604160682906,2020-10-31T12:11:22.906,14.249,99523.289
1604160683041,2020-10-31T12:11:23.041,14.384,99518.500
1604160683177,2020-10-31T12:11:23.177,14.520,99522.391
1604160683312,2020-10-31T12:11:23.312,14.655,99512.000
1604160683448,2020-10-31T12:11:23.448,14.791,99515.063
1604160683584,2020-10-31T12:11:23.584,14.927,99518.031
1604160683719,2020-10-31T12:11:23.719,15.062,99511.531
1604160683855,2020-10-31T12:11:23.855,15.198,99511.109
1604160683991,2020-10-31T12:11:23.991,15.334,99513.242
1604160684126,2020-10-31T12:11:24.126,15.469,99513.242
1604160684262,2020-10-31T12:11:24.262,15.605,99515.000
1604160684397,2020-10-31T12:11:24.397,15.740,99513.703
1604160684533,2020-10-31T12:11:24.533,15.876,99518.906
1604160684670,2020-10-31T12:11:24.670,16.013,99514.914
1604160684804,2020-10-31T12:11:24.804,16.147,99517.141
1604160684941,2020-10-31T12:11:24.941,16.284,99511.594
1604160685077,2020-10-31T12:11:25.077,16.420,99511.594
1604160685212,2020-10-31T12:11:25.212,16.555,99514.656
1604160685348,2020-10-31T12:11:25.348,16.691,99513.359
1604160685484,2020-10-31T12:11:25.484,16.827,99511.219
1604160685619,2020-10-31T12:11:25.619,16.962,99515.117
1604160685755,2020-10-31T12:11:25.755,17.098,99508.266
1604160685891,2020-10-31T12:11:25.891,17.234,99510.438
1604160686026,2020-10-31T12:11:26.026,17.369,99512.625
1604160686162,2020-10-31T12:11:26.162,17.505,99510.031
1604160686297,2020-10-31T12:11:26.297,17.640,99511.391
1604160686433,2020-10-31T12:11:26.433,17.776,99505.344
1604160686569,2020-10-31T12:11:26.569,17.912,99512.258
1604160686706,2020-10-31T12:11:26.706,18.049,99509.250
1604160686840,2020-10-31T12:11:26.840,18.183,99510.953
1604160686977,2020-10-31T12:11:26.977,18.320,99517.047
1604160687111,2020-10-31T12:11:27.111,18.454,99512.258
1604160687248,2020-10-31T12:11:27.248,18.591,99508.781
1604160687384,2020-10-31T12:11:27.384,18.727,99510.547
1604160687519,2020-10-31T12:11:27.519,18.862,99515.281
1604160687655,2020-10-31T12:11:27.655,18.998,99510.086
1604160687791,2020-10-31T12:11:27.791,19.134,99512.258
1604160687926,2020-10-31T12:11:27.926,19.269,99512.688
1604160688062,2020-10-31T12:11:28.062,19.405,99510.086
1604160688197,2020-10-31T12:11:28.197,19.540,99515.281
1604160688333,2020-10-31T12:11:28.333,19.676,99513.555
1604160688469,2020-10-31T12:11:28.469,19.812,99507.422
1604160688604,2020-10-31T12:11:28.604,19.947,99508.359
1604160688740,2020-10-31T12:11:28.740,20.083,99510.031
1604160688877,2020-10-31T12:11:28.877,20.220,99507.891
1604160689011,2020-10-31T12:11:29.011,20.354,99511.797
1604160689148,2020-10-31T12:11:29.148,20.491,99508.266
1604160689284,2020-10-31T12:11:29.284,20.627,99509.563
1604160689419,2020-10-31T12:11:29.419,20.762,99511.797
1604160689555,2020-10-31T12:11:29.555,20.898,99513.094
1604160689690,2020-10-31T12:11:29.690,21.033,99513.094
1604160689826,2020-10-31T12:11:29.826,21.169,99516.531
1604160689962,2020-10-31T12:11:29.962,21.305,99515.281
1604160690097,2020-10-31T12:11:30.097,21.440,99513.555
1604160690233,2020-10-31T12:11:30.233,21.576,99513.984
1604160690369,2020-10-31T12:11:30.369,21.712,99512.258
1604160690504,2020-10-31T12:11:30.504,21.847,99512.688
1604160690640,2020-10-31T12:11:30.640,21.983,99510.953
