epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1627849579599,2021-08-01T16:26:19.599,0.000,-0.000092125,0.000096437,-0.000090687
1627849579649,2021-08-01T16:26:19.649,0.050,-0.000092813,0.000097563,-0.000089875
1627849579699,2021-08-01T16:26:19.699,0.100,-0.000093938,0.000098625,-0.000088750
1627849579749,2021-08-01T16:26:19.749,0.150,-0.000092500,0.000096813,-0.000090687
1627849579799,2021-08-01T16:26:19.799,0.200,-0.000092500,0.000092500,-0.000089188
1627849579849,2021-08-01T16:26:19.849,0.250,-0.000092813,0.000097938,-0.000091063
1627849579899,2021-08-01T16:26:19.899,0.300,-0.000093562,0.000097187,-0.000090312
1627849579949,2021-08-01T16:26:19.949,0.350,-0.000091000,0.000097563,-0.000088812
1627849579999,2021-08-01T16:26:19.999,0.400,-0.000089562,0.000098625,-0.000090312
1627849580049,2021-08-01T16:26:20.049,0.450,-0.000091375,0.000099750,-0.000088812
1627849580099,2021-08-01T16:26:20.099,0.500,-0.000089188,0.000099375,-0.000090312
1627849580149,2021-08-01T16:26:20.149,0.550,-0.000088812,0.000084438,-0.000090312
1627849580199,2021-08-01T16:26:20.199,0.600,-0.000089188,0.000100500,-0.000090687
1627849580249,2021-08-01T16:26:20.249,0.650,-0.000090625,0.000101187,-0.000089562
1627849580299,2021-08-01T16:26:20.299,0.700,-0.000089562,0.000099750,-0.000090750
1627849580349,2021-08-01T16:26:20.349,0.750,-0.000088437,0.000100500,-0.000089188
1627849580399,2021-08-01T16:26:20.399,0.800,-0.000089188,0.000100500,-0.000088812
1627849580449,2021-08-01T16:26:20.449,0.850,-0.000090312,0.000100875,-0.000090000
1627849580499,2021-08-01T16:26:20.499,0.900,-0.000088125,0.000100125,-0.000089562
1627849580549,2021-08-01T16:26:20.549,0.950,-0.000087750,0.000100125,-0.000091500
1627849580599,2021-08-01T16:26:20.599,1.000,-0.000086625,0.000100875,-0.000089562
