epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1627848913749,2021-08-01T16:15:13.749,0.000,-0.305,0.061,-0.427
1627848913759,2021-08-01T16:15:13.759,0.010,-0.122,0.854,-0.976
1627848913769,2021-08-01T16:15:13.769,0.020,-0.488,0.183,-0.671
1627848913779,2021-08-01T16:15:13.779,0.030,-0.488,0.122,-0.549
1627848913789,2021-08-01T16:15:13.789,0.040,-0.427,0.244,-0.732
1627848913799,2021-08-01T16:15:13.799,0.050,-0.427,0.183,-0.610
1627848913809,2021-08-01T16:15:13.809,0.060,-0.427,0.183,-0.549
1627848913819,2021-08-01T16:15:13.819,0.070,-0.549,0.183,-0.732
1627848913829,2021-08-01T16:15:13.829,0.080,-0.488,0.183,-0.732
1627848913839,2021-08-01T16:15:13.839,0.090,-0.549,0.122,-0.610
1627848913849,2021-08-01T16:15:13.849,0.100,-0.488,0.244,-0.549
1627848913859,2021-08-01T16:15:13.859,0.110,-0.366,0.305,-0.671
1627848913869,2021-08-01T16:15:13.869,0.120,-0.427,0.183,-0.671
1627848913879,2021-08-01T16:15:13.879,0.130,-0.488,0.183,-0.610
1627848913889,2021-08-01T16:15:13.889,0.140,-0.488,0.244,-0.671
1627848913899,2021-08-01T16:15:13.899,0.150,-0.366,0.244,-0.549
1627848913909,2021-08-01T16:15:13.909,0.160,-0.427,0.183,-0.549
1627848913919,2021-08-01T16:15:13.919,0.170,-0.366,0.244,-0.732
1627848913929,2021-08-01T16:15:13.929,0.180,-0.427,0.366,-0.793
1627848913939,2021-08-01T16:15:13.939,0.190,-0.488,0.244,-0.610
1627848913949,2021-08-01T16:15:13.949,0.200,-0.366,0.244,-0.610
1627848913959,2021-08-01T16:15:13.959,0.210,-0.427,0.244,-0.732
1627848913969,2021-08-01T16:15:13.969,0.220,-0.427,0.183,-0.671
1627848913979,2021-08-01T16:15:13.979,0.230,-0.427,0.244,-0.610
1627848913989,2021-08-01T16:15:13.989,0.240,-0.488,0.183,-0.610
1627848913999,2021-08-01T16:15:13.999,0.250,-0.366,0.183,-0.671
1627848914009,2021-08-01T16:15:14.009,0.260,-0.427,0.183,-0.610
1627848914019,2021-08-01T16:15:14.019,0.270,-0.549,0.183,-0.610
1627848914029,2021-08-01T16:15:14.029,0.280,-0.427,0.183,-0.793
1627848914039,2021-08-01T16:15:14.039,0.290,-0.366,0.183,-0.610
1627848914049,2021-08-01T16:15:14.049,0.300,-0.427,0.122,-0.549
1627848914059,2021-08-01T16:15:14.059,0.310,-0.427,0.183,-0.732
1627848914069,2021-08-01T16:15:14.069,0.320,-0.488,0.183,-0.671
1627848914079,2021-08-01T16:15:14.079,0.330,-0.366,0.122,-0.549
1627848914089,2021-08-01T16:15:14.089,0.340,-0.488,0.122,-0.610
1627848914099,2021-08-01T16:15:14.099,0.350,-0.488,0.183,-0.671
1627848914109,2021-08-01T16:15:14.109,0.360,-0.488,0.244,-0.610
1627848914119,2021-08-01T16:15:14.119,0.370,-0.549,0.183,-0.671
1627848914129,2021-08-01T16:15:14.129,0.380,-0.488,0.122,-0.732
1627848914139,2021-08-01T16:15:14.139,0.390,-0.366,0.244,-0.671
1627848914149,2021-08-01T16:15:14.149,0.400,-0.488,0.183,-0.549
1627848914159,2021-08-01T16:15:14.159,0.410,-0.488,0.122,-0.610
1627848914169,2021-08-01T16:15:14.169,0.420,-0.488,0.244,-0.610
1627848914179,2021-08-01T16:15:14.179,0.430,-0.488,0.305,-0.488
1627848914189,2021-08-01T16:15:14.189,0.440,-0.488,0.244,-0.610
1627848914199,2021-08-01T16:15:14.199,0.450,-0.305,0.244,-0.732
1627848914209,2021-08-01T16:15:14.209,0.460,-0.488,0.183,-0.610
1627848914219,2021-08-01T16:15:14.219,0.470,-0.549,0.244,-0.549
1627848914229,2021-08-01T16:15:14.229,0.480,-0.427,0.244,-0.610
1627848914239,2021-08-01T16:15:14.239,0.490,-0.427,0.244,-0.671
1627848914249,2021-08-01T16:15:14.249,0.500,-0.549,0.183,-0.549
1627848914259,2021-08-01T16:15:14.259,0.510,-0.366,0.183,-0.610
1627848914269,2021-08-01T16:15:14.269,0.520,-0.305,0.122,-0.793
1627848914279,2021-08-01T16:15:14.279,0.530,-0.488,0.122,-0.671
1627848914289,2021-08-01T16:15:14.289,0.540,-0.488,0.183,-0.549
1627848914299,2021-08-01T16:15:14.299,0.550,-0.488,0.244,-0.671
1627848914309,2021-08-01T16:15:14.309,0.560,-0.305,0.305,-0.671
1627848914319,2021-08-01T16:15:14.319,0.570,-0.488,0.122,-0.488
1627848914329,2021-08-01T16:15:14.329,0.580,-0.549,0.183,-0.549
1627848914339,2021-08-01T16:15:14.339,0.590,-0.427,0.305,-0.793
1627848914349,2021-08-01T16:15:14.349,0.600,-0.488,0.183,-0.732
1627848914359,2021-08-01T16:15:14.359,0.610,-0.610,0.244,-0.610
1627848914369,2021-08-01T16:15:14.369,0.620,-0.427,0.305,-0.671
1627848914379,2021-08-01T16:15:14.379,0.630,-0.305,0.183,-0.671
1627848914389,2021-08-01T16:15:14.389,0.640,-0.427,0.305,-0.549
1627848914399,2021-08-01T16:15:14.399,0.650,-0.488,0.183,-0.549
1627848914409,2021-08-01T16:15:14.409,0.660,-0.366,0.122,-0.732
1627848914419,2021-08-01T16:15:14.419,0.670,-0.427,0.244,-0.610
1627848914429,2021-08-01T16:15:14.429,0.680,-0.549,0.305,-0.488
1627848914439,2021-08-01T16:15:14.439,0.690,-0.488,0.244,-0.610
1627848914449,2021-08-01T16:15:14.449,0.700,-0.488,0.183,-0.610
1627848914459,2021-08-01T16:15:14.459,0.710,-0.427,0.183,-0.488
1627848914469,2021-08-01T16:15:14.469,0.720,-0.488,0.244,-0.671
1627848914479,2021-08-01T16:15:14.479,0.730,-0.366,0.183,-0.671
1627848914489,2021-08-01T16:15:14.489,0.740,-0.427,0.183,-0.488
1627848914499,2021-08-01T16:15:14.499,0.750,-0.366,0.244,-0.549
1627848914509,2021-08-01T16:15:14.509,0.760,-0.366,0.244,-0.732
1627848914519,2021-08-01T16:15:14.519,0.770,-0.488,0.122,-0.671
1627848914529,2021-08-01T16:15:14.529,0.780,-0.488,0.183,-0.427
1627848914539,2021-08-01T16:15:14.539,0.790,-0.488,0.244,-0.549
1627848914549,2021-08-01T16:15:14.549,0.800,-0.427,0.244,-0.671
1627848914559,2021-08-01T16:15:14.559,0.810,-0.488,0.244,-0.610
1627848914569,2021-08-01T16:15:14.569,0.820,-0.427,0.305,-0.610
1627848914579,2021-08-01T16:15:14.579,0.830,-0.549,0.183,-0.671
1627848914589,2021-08-01T16:15:14.589,0.840,-0.488,0.183,-0.671
1627848914599,2021-08-01T16:15:14.599,0.850,-0.488,0.244,-0.610
1627848914609,2021-08-01T16:15:14.609,0.860,-0.427,0.305,-0.671
1627848914619,2021-08-01T16:15:14.619,0.870,-0.488,0.244,-0.610
1627848914629,2021-08-01T16:15:14.629,0.880,-0.366,0.244,-0.610
1627848914639,2021-08-01T16:15:14.639,0.890,-0.366,0.244,-0.610
1627848914649,2021-08-01T16:15:14.649,0.900,-0.427,0.122,-0.610
1627848914659,2021-08-01T16:15:14.659,0.910,-0.488,0.183,-0.549
1627848914669,2021-08-01T16:15:14.669,0.920,-0.427,0.183,-0.549
1627848914679,2021-08-01T16:15:14.679,0.930,-0.366,0.244,-0.671
1627848914689,2021-08-01T16:15:14.689,0.940,-0.427,0.183,-0.671
1627848914699,2021-08-01T16:15:14.699,0.950,-0.488,0.244,-0.610
1627848914709,2021-08-01T16:15:14.709,0.960,-0.488,0.244,-0.610
1627848914719,2021-08-01T16:15:14.719,0.970,-0.305,0.183,-0.732
1627848914729,2021-08-01T16:15:14.729,0.980,-0.366,0.244,-0.610
1627848914739,2021-08-01T16:15:14.739,0.990,-0.488,0.122,-0.671
1627848914749,2021-08-01T16:15:14.749,1.000,-0.427,0.183,-0.610
1627848914759,2021-08-01T16:15:14.759,1.010,-0.427,0.244,-0.549
1627848914769,2021-08-01T16:15:14.769,1.020,-0.427,0.183,-0.610
1627848914779,2021-08-01T16:15:14.779,1.030,-0.427,0.244,-0.671
1627848914789,2021-08-01T16:15:14.789,1.040,-0.427,0.183,-0.671
1627848914799,2021-08-01T16:15:14.799,1.050,-0.427,0.305,-0.488
1627848914809,2021-08-01T16:15:14.809,1.060,-0.488,0.244,-0.610
1627848914819,2021-08-01T16:15:14.819,1.070,-0.366,0.183,-0.610
1627848914829,2021-08-01T16:15:14.829,1.080,-0.427,0.122,-0.671
1627848914839,2021-08-01T16:15:14.839,1.090,-0.427,0.244,-0.671
1627848914849,2021-08-01T16:15:14.849,1.100,-0.549,0.366,-0.732
1627848914859,2021-08-01T16:15:14.859,1.110,-0.488,0.244,-0.610
1627848914869,2021-08-01T16:15:14.869,1.120,-0.427,0.244,-0.549
1627848914879,2021-08-01T16:15:14.879,1.130,-0.366,0.244,-0.488
1627848914889,2021-08-01T16:15:14.889,1.140,-0.427,0.244,-0.549
1627848914899,2021-08-01T16:15:14.899,1.150,-0.488,0.183,-0.610
1627848914909,2021-08-01T16:15:14.909,1.160,-0.427,0.183,-0.610
1627848914919,2021-08-01T16:15:14.919,1.170,-0.305,0.244,-0.610
1627848914929,2021-08-01T16:15:14.929,1.180,-0.488,0.244,-0.671
1627848914939,2021-08-01T16:15:14.939,1.190,-0.488,0.244,-0.549
1627848914949,2021-08-01T16:15:14.949,1.200,-0.488,0.183,-0.610
1627848914959,2021-08-01T16:15:14.959,1.210,-0.488,0.183,-0.671
1627848914969,2021-08-01T16:15:14.969,1.220,-0.427,0.244,-0.610
1627848914979,2021-08-01T16:15:14.979,1.230,-0.427,0.183,-0.549
1627848914989,2021-08-01T16:15:14.989,1.240,-0.427,0.183,-0.610
1627848914999,2021-08-01T16:15:14.999,1.250,-0.549,0.183,-0.671
1627848915009,2021-08-01T16:15:15.009,1.260,-0.488,0.244,-0.610
1627848915019,2021-08-01T16:15:15.019,1.270,-0.488,0.244,-0.549
1627848915029,2021-08-01T16:15:15.029,1.280,-0.549,0.244,-0.671
1627848915039,2021-08-01T16:15:15.039,1.290,-0.488,0.183,-0.610
1627848915049,2021-08-01T16:15:15.049,1.300,-0.488,0.244,-0.671
1627848915059,2021-08-01T16:15:15.059,1.310,-0.488,0.244,-0.671
1627848915069,2021-08-01T16:15:15.069,1.320,-0.488,0.122,-0.671
1627848915079,2021-08-01T16:15:15.079,1.330,-0.549,0.122,-0.671
1627848915089,2021-08-01T16:15:15.089,1.340,-0.488,0.122,-0.732
