epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1627859932929,2021-08-01T19:18:52.929,0.000,-0.342,0.655,-0.607
1627859932939,2021-08-01T19:18:52.939,0.010,-0.344,0.664,-0.612
1627859932949,2021-08-01T19:18:52.949,0.020,-0.345,0.669,-0.614
1627859932959,2021-08-01T19:18:52.959,0.030,-0.344,0.672,-0.617
1627859932969,2021-08-01T19:18:52.969,0.040,-0.342,0.673,-0.622
1627859932979,2021-08-01T19:18:52.979,0.050,-0.343,0.665,-0.611
1627859932989,2021-08-01T19:18:52.989,0.060,-0.342,0.652,-0.605
1627859932999,2021-08-01T19:18:52.999,0.070,-0.340,0.650,-0.601
1627859933009,2021-08-01T19:18:53.009,0.080,-0.341,0.658,-0.603
1627859933019,2021-08-01T19:18:53.019,0.090,-0.347,0.666,-0.613
1627859933029,2021-08-01T19:18:53.029,0.100,-0.349,0.669,-0.617
1627859933039,2021-08-01T19:18:53.039,0.110,-0.351,0.665,-0.614
1627859933049,2021-08-01T19:18:53.049,0.120,-0.347,0.661,-0.608
1627859933059,2021-08-01T19:18:53.059,0.130,-0.346,0.660,-0.609
1627859933069,2021-08-01T19:18:53.069,0.140,-0.349,0.665,-0.612
1627859933079,2021-08-01T19:18:53.079,0.150,-0.351,0.672,-0.617
1627859933089,2021-08-01T19:18:53.089,0.160,-0.351,0.672,-0.615
1627859933099,2021-08-01T19:18:53.099,0.170,-0.353,0.670,-0.617
1627859933109,2021-08-01T19:18:53.109,0.180,-0.354,0.669,-0.612
1627859933119,2021-08-01T19:18:53.119,0.190,-0.356,0.669,-0.605
1627859933129,2021-08-01T19:18:53.129,0.200,-0.355,0.667,-0.609
1627859933139,2021-08-01T19:18:53.139,0.210,-0.353,0.667,-0.609
1627859933149,2021-08-01T19:18:53.149,0.220,-0.354,0.668,-0.605
1627859933159,2021-08-01T19:18:53.159,0.230,-0.355,0.667,-0.601
1627859933169,2021-08-01T19:18:53.169,0.240,-0.354,0.665,-0.599
1627859933179,2021-08-01T19:18:53.179,0.250,-0.356,0.663,-0.597
1627859933189,2021-08-01T19:18:53.189,0.260,-0.357,0.664,-0.598
1627859933199,2021-08-01T19:18:53.199,0.270,-0.357,0.665,-0.601
1627859933209,2021-08-01T19:18:53.209,0.280,-0.362,0.664,-0.602
1627859933219,2021-08-01T19:18:53.219,0.290,-0.364,0.664,-0.600
1627859933229,2021-08-01T19:18:53.229,0.300,-0.359,0.663,-0.603
1627859933239,2021-08-01T19:18:53.239,0.310,-0.364,0.662,-0.602
1627859933249,2021-08-01T19:18:53.249,0.320,-0.364,0.662,-0.606
1627859933259,2021-08-01T19:18:53.259,0.330,-0.360,0.664,-0.606
1627859933269,2021-08-01T19:18:53.269,0.340,-0.363,0.666,-0.606
1627859933279,2021-08-01T19:18:53.279,0.350,-0.364,0.668,-0.609
1627859933289,2021-08-01T19:18:53.289,0.360,-0.361,0.666,-0.611
1627859933299,2021-08-01T19:18:53.299,0.370,-0.364,0.667,-0.610
1627859933309,2021-08-01T19:18:53.309,0.380,-0.361,0.670,-0.611
1627859933319,2021-08-01T19:18:53.319,0.390,-0.363,0.665,-0.612
1627859933329,2021-08-01T19:18:53.329,0.400,-0.363,0.666,-0.610
1627859933339,2021-08-01T19:18:53.339,0.410,-0.364,0.666,-0.610
1627859933349,2021-08-01T19:18:53.349,0.420,-0.359,0.664,-0.609
1627859933359,2021-08-01T19:18:53.359,0.430,-0.359,0.664,-0.610
1627859933369,2021-08-01T19:18:53.369,0.440,-0.359,0.662,-0.610
1627859933379,2021-08-01T19:18:53.379,0.450,-0.358,0.660,-0.609
1627859933389,2021-08-01T19:18:53.389,0.460,-0.362,0.659,-0.605
1627859933399,2021-08-01T19:18:53.399,0.470,-0.360,0.658,-0.607
1627859933409,2021-08-01T19:18:53.409,0.480,-0.361,0.660,-0.604
1627859933419,2021-08-01T19:18:53.419,0.490,-0.362,0.663,-0.609
1627859933429,2021-08-01T19:18:53.429,0.500,-0.363,0.666,-0.611
1627859933439,2021-08-01T19:18:53.439,0.510,-0.360,0.665,-0.612
1627859933449,2021-08-01T19:18:53.449,0.520,-0.360,0.663,-0.614
1627859933459,2021-08-01T19:18:53.459,0.530,-0.358,0.660,-0.612
1627859933469,2021-08-01T19:18:53.469,0.540,-0.359,0.656,-0.610
1627859933479,2021-08-01T19:18:53.479,0.550,-0.360,0.658,-0.610
1627859933489,2021-08-01T19:18:53.489,0.560,-0.358,0.659,-0.611
1627859933499,2021-08-01T19:18:53.499,0.570,-0.358,0.659,-0.618
1627859933509,2021-08-01T19:18:53.509,0.580,-0.355,0.658,-0.614
