epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1627858989850,2021-08-01T19:03:09.850,0.000,97986.508
1627858989985,2021-08-01T19:03:09.985,0.135,97982.469
1627858990121,2021-08-01T19:03:10.121,0.271,97984.734
1627858990258,2021-08-01T19:03:10.258,0.408,97981.469
1627858990392,2021-08-01T19:03:10.392,0.542,97981.891
1627858990529,2021-08-01T19:03:10.529,0.679,97983.563
1627858990663,2021-08-01T19:03:10.663,0.813,97977.234
1627858990800,2021-08-01T19:03:10.800,0.950,97985.516
1627858990936,2021-08-01T19:03:10.936,1.086,97983.563
1627858991071,2021-08-01T19:03:11.071,1.221,97983.234
1627858991207,2021-08-01T19:03:11.207,1.357,97986.078
1627858991343,2021-08-01T19:03:11.343,1.493,97985.656
1627858991478,2021-08-01T19:03:11.478,1.628,97978.766
1627858991614,2021-08-01T19:03:11.614,1.764,97981.469
1627858991749,2021-08-01T19:03:11.749,1.899,97984.305
1627858991885,2021-08-01T19:03:11.885,2.035,97984.906
1627858992021,2021-08-01T19:03:12.021,2.171,97987.008
1627858992156,2021-08-01T19:03:12.156,2.306,97983.984
1627858992292,2021-08-01T19:03:12.292,2.442,97981.031
1627858992428,2021-08-01T19:03:12.428,2.578,97981.469
1627858992563,2021-08-01T19:03:12.563,2.713,97988.203
1627858992699,2021-08-01T19:03:12.699,2.849,97984.906
1627858992836,2021-08-01T19:03:12.836,2.986,97980.688
1627858992970,2021-08-01T19:03:12.970,3.120,97989.703
1627858993107,2021-08-01T19:03:13.107,3.257,97982.813
1627858993243,2021-08-01T19:03:13.243,3.393,97985.828
1627858993378,2021-08-01T19:03:13.378,3.528,97982.813
1627858993514,2021-08-01T19:03:13.514,3.664,97981.609
1627858993649,2021-08-01T19:03:13.649,3.799,97984.305
1627858993785,2021-08-01T19:03:13.785,3.935,97987.008
1627858993921,2021-08-01T19:03:13.921,4.071,97976.641
1627858994056,2021-08-01T19:03:14.056,4.206,97980.109
1627858994192,2021-08-01T19:03:14.192,4.342,97983.734
1627858994328,2021-08-01T19:03:14.328,4.478,97984.484
1627858994463,2021-08-01T19:03:14.463,4.613,97980.859
1627858994599,2021-08-01T19:03:14.599,4.749,97980.109
1627858994736,2021-08-01T19:03:14.736,4.886,97983.133
1627858994870,2021-08-01T19:03:14.870,5.020,97985.656
1627858995007,2021-08-01T19:03:15.007,5.157,97981.609
1627858995141,2021-08-01T19:03:15.141,5.291,97984.906
1627858995278,2021-08-01T19:03:15.278,5.428,97981.781
1627858995414,2021-08-01T19:03:15.414,5.564,97982.953
1627858995550,2021-08-01T19:03:15.550,5.700,97987.008
1627858995685,2021-08-01T19:03:15.685,5.835,97977.984
1627858995821,2021-08-01T19:03:15.821,5.971,97983.734
1627858995956,2021-08-01T19:03:15.956,6.106,97986.578
1627858996092,2021-08-01T19:03:16.092,6.242,97981.469
1627858996228,2021-08-01T19:03:16.228,6.378,97988.352
1627858996363,2021-08-01T19:03:16.363,6.513,97977.563
1627858996499,2021-08-01T19:03:16.499,6.649,97988.531
1627858996634,2021-08-01T19:03:16.634,6.784,97981.031
1627858996770,2021-08-01T19:03:16.770,6.920,97986.438
1627858996907,2021-08-01T19:03:16.907,7.057,97987.008
1627858997041,2021-08-01T19:03:17.041,7.191,97988.531
1627858997178,2021-08-01T19:03:17.178,7.328,97983.133
1627858997314,2021-08-01T19:03:17.314,7.464,97984.484
1627858997449,2021-08-01T19:03:17.449,7.599,97983.563
1627858997585,2021-08-01T19:03:17.585,7.735,97991.406
1627858997720,2021-08-01T19:03:17.720,7.870,97981.961
1627858997856,2021-08-01T19:03:17.856,8.006,97984.484
1627858997992,2021-08-01T19:03:17.992,8.142,97985.828
1627858998127,2021-08-01T19:03:18.127,8.277,97983.883
1627858998263,2021-08-01T19:03:18.263,8.413,97982.391
1627858998399,2021-08-01T19:03:18.399,8.549,97985.828
1627858998534,2021-08-01T19:03:18.534,8.684,97985.234
1627858998670,2021-08-01T19:03:18.670,8.820,97983.133
1627858998805,2021-08-01T19:03:18.805,8.955,97985.828
1627858998941,2021-08-01T19:03:18.941,9.091,97986.578
1627858999077,2021-08-01T19:03:19.077,9.227,97990.625
1627858999212,2021-08-01T19:03:19.212,9.362,97986.008
1627858999348,2021-08-01T19:03:19.348,9.498,97987.359
1627858999485,2021-08-01T19:03:19.485,9.635,97983.133
1627858999619,2021-08-01T19:03:19.619,9.769,97981.781
1627858999756,2021-08-01T19:03:19.756,9.906,97982.391
1627858999890,2021-08-01T19:03:19.890,10.040,97985.234
1627859000027,2021-08-01T19:03:20.027,10.177,97989.281
1627859000163,2021-08-01T19:03:20.163,10.313,97985.828
1627859000299,2021-08-01T19:03:20.299,10.449,97982.531
1627859000434,2021-08-01T19:03:20.434,10.584,97981.961
1627859000570,2021-08-01T19:03:20.570,10.720,97982.531
1627859000705,2021-08-01T19:03:20.705,10.855,97980.609
1627859000841,2021-08-01T19:03:20.841,10.991,97984.055
1627859000976,2021-08-01T19:03:20.976,11.126,97984.055
1627859001112,2021-08-01T19:03:21.112,11.262,97984.055
1627859001248,2021-08-01T19:03:21.248,11.398,97984.656
1627859001383,2021-08-01T19:03:21.383,11.533,97984.484
1627859001519,2021-08-01T19:03:21.519,11.669,97982.391
1627859001656,2021-08-01T19:03:21.656,11.806,97984.656
1627859001790,2021-08-01T19:03:21.790,11.940,97980.609
1627859001927,2021-08-01T19:03:21.927,12.077,97984.805
1627859002063,2021-08-01T19:03:22.063,12.213,97982.531
1627859002198,2021-08-01T19:03:22.198,12.348,97980.609
1627859002334,2021-08-01T19:03:22.334,12.484,97983.313
1627859002469,2021-08-01T19:03:22.469,12.619,97989.453
1627859002605,2021-08-01T19:03:22.605,12.755,97983.133
1627859002741,2021-08-01T19:03:22.741,12.891,97986.758
1627859002876,2021-08-01T19:03:22.876,13.026,97982.531
1627859003012,2021-08-01T19:03:23.012,13.162,97978.656
1627859003148,2021-08-01T19:03:23.148,13.298,97981.359
1627859003283,2021-08-01T19:03:23.283,13.433,97984.656
1627859003419,2021-08-01T19:03:23.419,13.569,97983.453
1627859003555,2021-08-01T19:03:23.555,13.705,97978.063
1627859003690,2021-08-01T19:03:23.690,13.840,97983.453
1627859003826,2021-08-01T19:03:23.826,13.976,97978.484
1627859003963,2021-08-01T19:03:23.963,14.113,97984.805
1627859004097,2021-08-01T19:03:24.097,14.247,97984.805
1627859004234,2021-08-01T19:03:24.234,14.384,97984.805
1627859004368,2021-08-01T19:03:24.368,14.518,97981.961
1627859004505,2021-08-01T19:03:24.505,14.655,97984.656
1627859004641,2021-08-01T19:03:24.641,14.791,97980.609
1627859004776,2021-08-01T19:03:24.776,14.926,97980.188
1627859004912,2021-08-01T19:03:24.912,15.062,97987.500
1627859005048,2021-08-01T19:03:25.048,15.198,97986.008
1627859005183,2021-08-01T19:03:25.183,15.333,97986.156
1627859005319,2021-08-01T19:03:25.319,15.469,97988.102
1627859005454,2021-08-01T19:03:25.454,15.604,97986.930
1627859005590,2021-08-01T19:03:25.590,15.740,97984.055
1627859005726,2021-08-01T19:03:25.726,15.876,97980.758
1627859005861,2021-08-01T19:03:25.861,16.011,97985.406
1627859005997,2021-08-01T19:03:25.997,16.147,97988.281
1627859006134,2021-08-01T19:03:26.134,16.284,97986.008
1627859006268,2021-08-01T19:03:26.268,16.418,97983.453
1627859006405,2021-08-01T19:03:26.405,16.555,97986.758
1627859006539,2021-08-01T19:03:26.539,16.689,97987.500
1627859006676,2021-08-01T19:03:26.676,16.826,97983.453
1627859006812,2021-08-01T19:03:26.812,16.962,97983.453
1627859006947,2021-08-01T19:03:26.947,17.097,97985.578
1627859007083,2021-08-01T19:03:27.083,17.233,97986.328
1627859007219,2021-08-01T19:03:27.219,17.369,97987.680
1627859007354,2021-08-01T19:03:27.354,17.504,97983.453
1627859007490,2021-08-01T19:03:27.490,17.640,97989.031
1627859007626,2021-08-01T19:03:27.626,17.776,97984.984
1627859007761,2021-08-01T19:03:27.761,17.911,97987.680
1627859007897,2021-08-01T19:03:27.897,18.047,97983.453
1627859008032,2021-08-01T19:03:28.032,18.182,97982.281
1627859008168,2021-08-01T19:03:28.168,18.318,97985.727
1627859008304,2021-08-01T19:03:28.304,18.454,97983.633
1627859008439,2021-08-01T19:03:28.439,18.589,97984.984
1627859008575,2021-08-01T19:03:28.575,18.725,97976.711
1627859008712,2021-08-01T19:03:28.712,18.862,97986.508
1627859008846,2021-08-01T19:03:28.846,18.996,97984.234
1627859008983,2021-08-01T19:03:28.983,19.133,97987.500
1627859009117,2021-08-01T19:03:29.117,19.267,97984.375
1627859009254,2021-08-01T19:03:29.254,19.404,97986.328
1627859009390,2021-08-01T19:03:29.390,19.540,97982.281
1627859009525,2021-08-01T19:03:29.525,19.675,97987.078
1627859009661,2021-08-01T19:03:29.661,19.811,97982.281
1627859009797,2021-08-01T19:03:29.797,19.947,97985.578
1627859009932,2021-08-01T19:03:29.932,20.082,97986.930
1627859010068,2021-08-01T19:03:30.068,20.218,97982.281
1627859010204,2021-08-01T19:03:30.204,20.354,97984.375
1627859010339,2021-08-01T19:03:30.339,20.489,97984.555
1627859010475,2021-08-01T19:03:30.475,20.625,97981.109
1627859010612,2021-08-01T19:03:30.612,20.762,97983.633
1627859010746,2021-08-01T19:03:30.746,20.896,97983.633
1627859010883,2021-08-01T19:03:30.883,21.033,97986.508
1627859011017,2021-08-01T19:03:31.017,21.167,97989.203
1627859011154,2021-08-01T19:03:31.154,21.304,97985.156
1627859011290,2021-08-01T19:03:31.290,21.440,97989.203
1627859011425,2021-08-01T19:03:31.425,21.575,97983.453
1627859011561,2021-08-01T19:03:31.561,21.711,97983.984
1627859011697,2021-08-01T19:03:31.697,21.847,97983.203
1627859011832,2021-08-01T19:03:31.832,21.982,97982.453
1627859011968,2021-08-01T19:03:31.968,22.118,97983.031
1627859012103,2021-08-01T19:03:32.103,22.253,97982.453
1627859012239,2021-08-01T19:03:32.239,22.389,97984.555
1627859012375,2021-08-01T19:03:32.375,22.525,97982.281
1627859012510,2021-08-01T19:03:32.510,22.660,97979.758
1627859012646,2021-08-01T19:03:32.646,22.796,97980.328
1627859012782,2021-08-01T19:03:32.782,22.932,97987.250
1627859012917,2021-08-01T19:03:32.917,23.067,97980.328
1627859013053,2021-08-01T19:03:33.053,23.203,97980.930
1627859013188,2021-08-01T19:03:33.188,23.338,97980.930
1627859013324,2021-08-01T19:03:33.324,23.474,97987.852
1627859013461,2021-08-01T19:03:33.461,23.611,97990.727
1627859013595,2021-08-01T19:03:33.595,23.745,97985.156
1627859013732,2021-08-01T19:03:33.732,23.882,97980.328
1627859013868,2021-08-01T19:03:33.868,24.018,97988.602
1627859014003,2021-08-01T19:03:34.003,24.153,97982.281
1627859014139,2021-08-01T19:03:34.139,24.289,97985.906
1627859014275,2021-08-01T19:03:34.275,24.425,97983.805
1627859014410,2021-08-01T19:03:34.410,24.560,97985.906
1627859014546,2021-08-01T19:03:34.546,24.696,97983.805
1627859014682,2021-08-01T19:03:34.682,24.832,97977.633
1627859014817,2021-08-01T19:03:34.817,24.967,97986.680
1627859014953,2021-08-01T19:03:34.953,25.103,97989.203
1627859015090,2021-08-01T19:03:35.090,25.240,97977.813
1627859015224,2021-08-01T19:03:35.224,25.374,97983.984
1627859015361,2021-08-01T19:03:35.361,25.511,97985.906
1627859015495,2021-08-01T19:03:35.495,25.645,97979.406
1627859015632,2021-08-01T19:03:35.632,25.782,97981.281
1627859015768,2021-08-01T19:03:35.768,25.918,97985.906
1627859015903,2021-08-01T19:03:35.903,26.053,97983.203
1627859016039,2021-08-01T19:03:36.039,26.189,97984.375
1627859016175,2021-08-01T19:03:36.175,26.325,97983.805
1627859016310,2021-08-01T19:03:36.310,26.460,97981.109
1627859016446,2021-08-01T19:03:36.446,26.596,97983.805
1627859016582,2021-08-01T19:03:36.582,26.732,97983.203
1627859016717,2021-08-01T19:03:36.717,26.867,97981.109
1627859016853,2021-08-01T19:03:36.853,27.003,97984.555
1627859016988,2021-08-01T19:03:36.988,27.138,97984.555
1627859017124,2021-08-01T19:03:37.124,27.274,97983.984
1627859017261,2021-08-01T19:03:37.261,27.411,97981.531
1627859017395,2021-08-01T19:03:37.395,27.545,97983.984
1627859017532,2021-08-01T19:03:37.532,27.682,97984.734
1627859017668,2021-08-01T19:03:37.668,27.818,97985.469
1627859017803,2021-08-01T19:03:37.803,27.953,97981.281
1627859017939,2021-08-01T19:03:37.939,28.089,97983.984
1627859018074,2021-08-01T19:03:38.074,28.224,97986.508
1627859018210,2021-08-01T19:03:38.210,28.360,97979.156
1627859018346,2021-08-01T19:03:38.346,28.496,97984.734
1627859018482,2021-08-01T19:03:38.482,28.632,97987.250
