epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1627857841164,2021-08-01T18:44:01.164,0.000,-0.068,0.897,-0.289
1627857841174,2021-08-01T18:44:01.174,0.010,-0.069,0.912,-0.291
1627857841184,2021-08-01T18:44:01.184,0.020,-0.073,0.912,-0.296
1627857841194,2021-08-01T18:44:01.194,0.030,-0.072,0.909,-0.292
1627857841204,2021-08-01T18:44:01.204,0.040,-0.070,0.908,-0.291
1627857841214,2021-08-01T18:44:01.214,0.050,-0.068,0.904,-0.289
1627857841224,2021-08-01T18:44:01.224,0.060,-0.068,0.905,-0.292
1627857841234,2021-08-01T18:44:01.234,0.070,-0.071,0.912,-0.290
1627857841244,2021-08-01T18:44:01.244,0.080,-0.076,0.913,-0.292
1627857841254,2021-08-01T18:44:01.254,0.090,-0.076,0.910,-0.294
1627857841264,2021-08-01T18:44:01.264,0.100,-0.077,0.912,-0.288
1627857841274,2021-08-01T18:44:01.274,0.110,-0.080,0.917,-0.293
1627857841284,2021-08-01T18:44:01.284,0.120,-0.080,0.918,-0.289
1627857841294,2021-08-01T18:44:01.294,0.130,-0.080,0.912,-0.289
1627857841304,2021-08-01T18:44:01.304,0.140,-0.080,0.906,-0.289
1627857841314,2021-08-01T18:44:01.314,0.150,-0.081,0.908,-0.290
1627857841324,2021-08-01T18:44:01.324,0.160,-0.080,0.910,-0.290
1627857841334,2021-08-01T18:44:01.334,0.170,-0.078,0.910,-0.291
1627857841344,2021-08-01T18:44:01.344,0.180,-0.080,0.910,-0.289
1627857841354,2021-08-01T18:44:01.354,0.190,-0.079,0.905,-0.289
1627857841364,2021-08-01T18:44:01.364,0.200,-0.074,0.910,-0.286
1627857841374,2021-08-01T18:44:01.374,0.210,-0.075,0.912,-0.294
1627857841384,2021-08-01T18:44:01.384,0.220,-0.070,0.918,-0.292
1627857841394,2021-08-01T18:44:01.394,0.230,-0.075,0.911,-0.288
1627857841404,2021-08-01T18:44:01.404,0.240,-0.079,0.908,-0.291
1627857841414,2021-08-01T18:44:01.414,0.250,-0.079,0.906,-0.290
1627857841424,2021-08-01T18:44:01.424,0.260,-0.081,0.906,-0.291
1627857841434,2021-08-01T18:44:01.434,0.270,-0.080,0.904,-0.292
1627857841444,2021-08-01T18:44:01.444,0.280,-0.076,0.906,-0.290
1627857841454,2021-08-01T18:44:01.454,0.290,-0.074,0.902,-0.289
1627857841464,2021-08-01T18:44:01.464,0.300,-0.073,0.894,-0.290
1627857841474,2021-08-01T18:44:01.474,0.310,-0.073,0.895,-0.290
1627857841484,2021-08-01T18:44:01.484,0.320,-0.078,0.903,-0.295
1627857841494,2021-08-01T18:44:01.494,0.330,-0.083,0.908,-0.298
1627857841504,2021-08-01T18:44:01.504,0.340,-0.087,0.907,-0.302
1627857841514,2021-08-01T18:44:01.514,0.350,-0.085,0.911,-0.298
1627857841524,2021-08-01T18:44:01.524,0.360,-0.087,0.917,-0.298
1627857841534,2021-08-01T18:44:01.534,0.370,-0.092,0.925,-0.305
1627857841544,2021-08-01T18:44:01.544,0.380,-0.095,0.930,-0.309
1627857841554,2021-08-01T18:44:01.554,0.390,-0.100,0.931,-0.312
1627857841564,2021-08-01T18:44:01.564,0.400,-0.100,0.930,-0.311
1627857841574,2021-08-01T18:44:01.574,0.410,-0.100,0.924,-0.304
1627857841584,2021-08-01T18:44:01.584,0.420,-0.103,0.914,-0.302
1627857841594,2021-08-01T18:44:01.594,0.430,-0.102,0.904,-0.298
1627857841604,2021-08-01T18:44:01.604,0.440,-0.100,0.903,-0.294
1627857841614,2021-08-01T18:44:01.614,0.450,-0.099,0.901,-0.294
1627857841624,2021-08-01T18:44:01.624,0.460,-0.096,0.903,-0.294
1627857841634,2021-08-01T18:44:01.634,0.470,-0.099,0.898,-0.295
1627857841644,2021-08-01T18:44:01.644,0.480,-0.102,0.888,-0.292
