epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1627861953636,2021-08-01T19:52:33.636,0.000,0.938,-0.326,-0.014
1627861953646,2021-08-01T19:52:33.646,0.010,0.945,-0.333,-0.022
1627861953656,2021-08-01T19:52:33.656,0.020,0.937,-0.339,-0.027
1627861953666,2021-08-01T19:52:33.666,0.030,0.928,-0.343,-0.028
1627861953676,2021-08-01T19:52:33.676,0.040,0.917,-0.341,-0.032
1627861953686,2021-08-01T19:52:33.686,0.050,0.910,-0.339,-0.037
1627861953696,2021-08-01T19:52:33.696,0.060,0.898,-0.341,-0.036
1627861953706,2021-08-01T19:52:33.706,0.070,0.898,-0.339,-0.033
1627861953716,2021-08-01T19:52:33.716,0.080,0.902,-0.329,-0.040
1627861953726,2021-08-01T19:52:33.726,0.090,0.896,-0.321,-0.042
1627861953736,2021-08-01T19:52:33.736,0.100,0.885,-0.313,-0.042
1627861953746,2021-08-01T19:52:33.746,0.110,0.888,-0.305,-0.043
1627861953756,2021-08-01T19:52:33.756,0.120,0.894,-0.292,-0.040
1627861953766,2021-08-01T19:52:33.766,0.130,0.898,-0.274,-0.039
1627861953776,2021-08-01T19:52:33.776,0.140,0.905,-0.265,-0.036
1627861953786,2021-08-01T19:52:33.786,0.150,0.912,-0.262,-0.038
1627861953796,2021-08-01T19:52:33.796,0.160,0.928,-0.261,-0.033
1627861953806,2021-08-01T19:52:33.806,0.170,0.935,-0.261,-0.031
1627861953816,2021-08-01T19:52:33.816,0.180,0.943,-0.265,-0.027
1627861953826,2021-08-01T19:52:33.826,0.190,0.951,-0.268,-0.021
1627861953836,2021-08-01T19:52:33.836,0.200,0.954,-0.270,-0.021
1627861953846,2021-08-01T19:52:33.846,0.210,0.950,-0.277,-0.019
1627861953856,2021-08-01T19:52:33.856,0.220,0.945,-0.284,-0.014
1627861953866,2021-08-01T19:52:33.866,0.230,0.954,-0.283,-0.012
1627861953876,2021-08-01T19:52:33.876,0.240,0.972,-0.273,-0.009
1627861953886,2021-08-01T19:52:33.886,0.250,0.968,-0.271,-0.006
1627861953896,2021-08-01T19:52:33.896,0.260,0.956,-0.278,0.002
1627861953906,2021-08-01T19:52:33.906,0.270,0.933,-0.283,0.009
1627861953916,2021-08-01T19:52:33.916,0.280,0.934,-0.278,0.019
1627861953926,2021-08-01T19:52:33.926,0.290,0.973,-0.255,0.024
1627861953936,2021-08-01T19:52:33.936,0.300,0.983,-0.250,0.021
1627861953946,2021-08-01T19:52:33.946,0.310,0.964,-0.262,0.029
1627861953956,2021-08-01T19:52:33.956,0.320,0.910,-0.272,0.032
1627861953966,2021-08-01T19:52:33.966,0.330,0.899,-0.276,0.039
1627861953976,2021-08-01T19:52:33.976,0.340,0.948,-0.255,0.036
1627861953986,2021-08-01T19:52:33.986,0.350,0.965,-0.248,0.031
